id_homol,hagrid,organism,gene_id,gene_symbol,gene_name
6339,132,10116,25249,Coq7,"coenzyme Q7 homolog, ubiquinone (yeast)"
6338,132,10090,12850,Coq7,demethyl-Q 7
6337,132,9913,504771,COQ7,"coenzyme Q7 homolog, ubiquinone (yeast)"
6336,132,9615,479828,COQ7,"coenzyme Q7 homolog, ubiquinone (yeast)"
6335,132,9544,716130,LOC716130,ubiquinone biosynthesis protein COQ7 homolog
6334,132,9544,693931,COQ7,"coenzyme Q7 homolog, ubiquinone (yeast)"
6333,132,9598,740917,COQ7,"coenzyme Q7 homolog, ubiquinone (yeast)"
6332,132,9606,10229,COQ7,"coenzyme Q7 homolog, ubiquinone (yeast)"
6772,99,9031,101749801,LOC101749801,protein kinase C alpha type-like
6771,99,9031,417430,PRKCA,"protein kinase C, alpha"
6770,99,10116,24680,Prkca,"protein kinase C, alpha"
6769,99,10090,18750,Prkca,"protein kinase C, alpha"
6768,99,9913,282001,PRKCA,"protein kinase C, alpha"
6767,99,9615,490904,PRKCA,"protein kinase C, alpha"
6766,99,9544,718412,PRKCA,"protein kinase C, alpha"
6765,99,9598,454832,PRKCA,"protein kinase C, alpha"
6764,99,9606,5578,PRKCA,"protein kinase C, alpha"
5368,222,10116,25321,Ghrhr,growth hormone releasing hormone receptor
5367,222,10090,14602,Ghrhr,growth hormone releasing hormone receptor
5366,222,9913,281782,GHRHR,growth hormone releasing hormone receptor
5365,222,9615,482385,GHRHR,growth hormone releasing hormone receptor
5364,222,9598,463331,GHRHR,growth hormone releasing hormone receptor
5363,222,9606,2692,GHRHR,growth hormone releasing hormone receptor
5013,251,9031,374115,ARNTL,aryl hydrocarbon receptor nuclear translocator-like
5012,251,10116,29657,Arntl,aryl hydrocarbon receptor nuclear translocator-like
5011,251,10090,11865,Arntl,aryl hydrocarbon receptor nuclear translocator-like
5010,251,9913,530705,ARNTL,aryl hydrocarbon receptor nuclear translocator-like
5009,251,9615,476860,ARNTL,aryl hydrocarbon receptor nuclear translocator-like
5008,251,9544,700464,ARNTL,aryl hydrocarbon receptor nuclear translocator-like
5007,251,9598,451034,ARNTL,aryl hydrocarbon receptor nuclear translocator-like
5006,251,9606,406,ARNTL,aryl hydrocarbon receptor nuclear translocator-like
6521,118,3702,836517,EMB2780,EMB2780
6522,118,4530,4349968,Os11g0186400,Os11g0186400
6520,118,5141,3877681,NCU01192,NCU01192
6518,118,4896,2540255,cdc6,cdc6
6519,118,318829,2678275,MGG_08071,MGG_08071
6517,118,33169,4621586,AGOS_AFL189W,AGOS_AFL189W
6516,118,28985,2894580,KLLA0E01607g,KLLA0E01607g
6514,118,6239,179652,F10C2.4,F10C2.4
6515,118,4932,851456,POL3,POL3
6513,118,7227,39746,DNApol-delta,DNA-polymerase-delta
6512,118,7955,556456,pold1,"polymerase (DNA directed), delta 1, catalytic subunit"
6511,118,10116,59294,Pold1,"polymerase (DNA directed), delta 1, catalytic subunit"
6510,118,10090,18971,Pold1,"polymerase (DNA directed), delta 1, catalytic subunit"
6509,118,9913,281990,POLD1,"polymerase (DNA directed), delta 1, catalytic subunit"
6508,118,9615,610047,POLD1,"polymerase (DNA directed), delta 1, catalytic subunit"
6507,118,9544,719262,POLD1,"polymerase (DNA directed), delta 1, catalytic subunit"
6506,118,9598,456228,POLD1,"polymerase (DNA directed), delta 1, catalytic subunit"
6505,118,9606,5424,POLD1,"polymerase (DNA directed), delta 1, catalytic subunit"
7241,59,10116,171046,Tcf3,transcription factor 3
7240,59,10090,21423,Tcf3,transcription factor 3
7239,59,9913,530616,TCF3,transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)
7238,59,9615,485079,TCF3,transcription factor 3
7237,59,9598,468650,TCF3,"transcription factor 7-like 1 (T-cell specific, HMG-box)"
7236,59,9606,6929,TCF3,transcription factor 3
6231,145,5141,3873935,NCU00326,NCU00326
6230,145,318829,2675385,MGG_05015,MGG_05015
6229,145,33169,4618929,AGOS_ABL098W,AGOS_ABL098W
6228,145,28985,2894972,KLLA0F04301g,KLLA0F04301g
6227,145,4932,852342,YBR053C,YBR053C
6226,145,7227,32165,regucalcin,regucalcin
6215,146,8364,733460,atp5o,"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit"
6214,146,4530,4341660,Os06g0646500,Os06g0646500
6184,148,8364,100145467,top3b,topoisomerase (DNA) III beta
6183,148,4530,4347482,Os09g0500600,Os09g0500600
6182,148,3702,817760,AT2G32000,AT2G32000
6181,148,6239,174978,Y48C3A.14,Y48C3A.14
6694,106,7955,562283,wu:fa96e12,wu:fa96e12
6695,106,7165,1278787,AgaP_AGAP003967,AgaP_AGAP003967
6685,107,8364,548403,cat.2,"catalase, gene 2"
6693,106,9031,395376,PRKDC,"protein kinase, DNA-activated, catalytic polypeptide"
6652,110,8364,100489816,ar,androgen receptor
6684,107,8364,549470,cat.1,"catalase, gene 1"
6651,110,9031,422165,AR,androgen receptor
6650,110,10116,24208,Ar,androgen receptor
6648,110,9913,280675,AR,androgen receptor
6649,110,10090,11835,Ar,androgen receptor
6647,110,9615,403588,AR,androgen receptor
6646,110,9544,574293,AR,androgen receptor
6645,110,9606,367,AR,androgen receptor
7231,60,7165,1273904,AgaP_AGAP003230,AgaP_AGAP003230
7230,60,7227,3355109,Parp,Poly-(ADP-ribose) polymerase
7229,60,7955,560788,parp1,"poly (ADP-ribose) polymerase family, member 1"
7228,60,9031,396199,PARP1,poly (ADP-ribose) polymerase 1
7227,60,10116,25591,Parp1,poly (ADP-ribose) polymerase 1
7226,60,10090,11545,Parp1,"poly (ADP-ribose) polymerase family, member 1"
7225,60,9913,286764,PARP1,poly (ADP-ribose) polymerase 1
7224,60,9615,490385,PARP1,poly (ADP-ribose) polymerase 1
7222,60,9598,457785,PARP1,poly (ADP-ribose) polymerase 1
7223,60,9544,698806,PARP1,poly (ADP-ribose) polymerase 1
7221,60,9606,142,PARP1,poly (ADP-ribose) polymerase 1
6502,119,10116,24887,Bax,Bcl2-associated X protein
6501,119,10090,12028,Bax,BCL2-associated X protein
6500,119,9913,280730,BAX,BCL2-associated X protein
6499,119,9615,403523,BAX,BCL2-associated X protein
6498,119,9544,718948,BAX,BCL2-associated X protein
6497,119,9598,747093,BAX,BCL2-associated X protein
6496,119,9606,581,BAX,BCL2-associated X protein
5063,246,10090,53892,Ppm1d,"protein phosphatase 1D magnesium-dependent, delta isoform"
5062,246,9913,514005,PPM1D,"protein phosphatase, Mg2+/Mn2+ dependent, 1D"
5061,246,9615,612934,PPM1D,"protein phosphatase, Mg2+/Mn2+ dependent, 1D"
5060,246,9544,713045,PPM1D,"protein phosphatase, Mg2+/Mn2+ dependent, 1D"
5059,246,9598,454803,PPM1D,"protein phosphatase, Mg2+/Mn2+ dependent, 1D"
5058,246,9606,8493,PPM1D,"protein phosphatase, Mg2+/Mn2+ dependent, 1D"
5693,194,4530,4348699,Os10g0432300,Os10g0432300
5692,194,5141,3876366,NCU04770,NCU04770
5691,194,318829,12987308,MGG_15601,MGG_15601
5690,194,4896,2541582,tbp1,tbp1
5689,194,33169,4623102,AGOS_AGR134W,AGOS_AGR134W
5688,194,28985,2893858,KLLA0E10099g,KLLA0E10099g
5687,194,4932,856891,SPT15,SPT15
5686,194,7955,368882,tbp,TATA box binding protein
5685,194,9031,395995,TBP,TATA box binding protein
5684,194,10116,117526,Tbp,TATA box binding protein
5683,194,10090,21374,Tbp,TATA box binding protein
5682,194,9913,516578,TBP,TATA box binding protein
5681,194,9615,611193,TBP,TATA box binding protein
5679,194,9598,738472,TBP,TATA box binding protein
5680,194,9544,696258,TBP,TATA box binding protein
5678,194,9606,6908,TBP,TATA box binding protein
5631,199,3702,820102,AT3G09440,AT3G09440
5618,200,8364,100495645,sin3a,SIN3 transcription regulator homolog A (yeast)
5617,200,7165,1278063,AgaP_AGAP007892,AgaP_AGAP007892
5616,200,7227,36382,Sin3A,Sin3A
5615,200,9031,415307,SIN3A,SIN3 transcription regulator homolog A (yeast)
5614,200,10116,363067,Sin3a,SIN3 transcription regulator family member A
5613,200,10090,20466,Sin3a,"transcriptional regulator, SIN3A (yeast)"
5612,200,9913,518504,SIN3A,SIN3 transcription regulator homolog A (yeast)
5611,200,9615,478372,SIN3A,SIN3 transcription regulator family member A
5610,200,9544,705719,SIN3A,SIN3 transcription regulator homolog A (yeast)
5609,200,9598,453759,SIN3A,SIN3 transcription regulator homolog A (yeast)
5608,200,9606,25942,SIN3A,SIN3 transcription regulator family member A
7617,21,7955,445474,stat5.2,signal transducer and activator of transcription 5.2
7616,21,9031,395556,STAT5B,signal transducer and activator of transcription 5B
7615,21,10116,25126,Stat5b,signal transducer and activator of transcription 5B
7614,21,10090,20851,Stat5b,signal transducer and activator of transcription 5B
7613,21,9913,282376,STAT5B,signal transducer and activator of transcription 5B
7612,21,9615,490969,STAT5B,signal transducer and activator of transcription 5B
7611,21,9544,709760,STAT5B,signal transducer and activator of transcription 5B
7610,21,9598,454679,STAT5B,signal transducer and activator of transcription 5B
7609,21,9606,6777,STAT5B,signal transducer and activator of transcription 5B
5720,191,10116,24225,Bdnf,brain-derived neurotrophic factor
5719,191,10090,12064,Bdnf,brain derived neurotrophic factor
5718,191,9913,617701,BDNF,brain-derived neurotrophic factor
5717,191,9615,403461,BDNF,brain-derived neurotrophic factor
5716,191,9544,701245,BDNF,brain-derived neurotrophic factor
5715,191,9598,503511,BDNF,brain-derived neurotrophic factor
5714,191,9606,627,BDNF,brain-derived neurotrophic factor
6854,91,7955,359834,tgfb1a,"transforming growth factor, beta 1a"
6852,91,10116,59086,Tgfb1,"transforming growth factor, beta 1"
6853,91,7955,563884,LOC563884,transforming growth factor beta-1-like
6846,92,7955,560477,ercc6,"excision repair cross-complementing rodent repair deficiency, complementation group 6"
6845,92,9031,423785,ERCC6,"excision repair cross-complementing rodent repair deficiency, complementation group 6"
6844,92,10116,306274,Ercc6,"excision repair cross-complementing rodent repair deficiency, complementation group 6"
6843,92,10090,319955,Ercc6,"excision repair cross-complementing rodent repair deficiency, complementation group 6"
6842,92,9913,522908,ERCC6,"excision repair cross-complementing rodent repair deficiency, complementation group 6"
6841,92,9615,477747,ERCC6,"excision repair cross-complementing rodent repair deficiency, complementation group 6"
6840,92,9544,710153,ERCC6,"excision repair cross-complementing rodent repair deficiency, complementation group 6"
6839,92,9598,101058892,ERCC6,"excision repair cross-complementing rodent repair deficiency, complementation group 6"
6838,92,9606,2074,ERCC6,excision repair cross-complementation group 6
7327,51,10090,18596,Pdgfrb,"platelet derived growth factor receptor, beta polypeptide"
7326,51,9913,527165,PDGFRB,"platelet-derived growth factor receptor, beta polypeptide"
7325,51,9615,442985,PDGFRB,"platelet-derived growth factor receptor, beta polypeptide"
7324,51,9544,711353,PDGFRB,"platelet-derived growth factor receptor, beta polypeptide"
7323,51,9598,462188,PDGFRB,"platelet-derived growth factor receptor, beta polypeptide"
7322,51,9606,5159,PDGFRB,"platelet-derived growth factor receptor, beta polypeptide"
7486,35,10090,11651,Akt1,thymoma viral proto-oncogene 1
7485,35,9913,280991,AKT1,v-akt murine thymoma viral oncogene homolog 1
7484,35,9615,490878,AKT1,v-akt murine thymoma viral oncogene homolog 1
7483,35,9544,697747,AKT1,v-akt murine thymoma viral oncogene homolog 1
7482,35,9598,740898,AKT1,v-akt murine thymoma viral oncogene homolog 1
7481,35,9606,207,AKT1,v-akt murine thymoma viral oncogene homolog 1
5535,207,6239,179959,hda-1,hda-1
5534,207,7955,192302,hdac1,histone deacetylase 1
5533,207,9031,395635,HDAC2,histone deacetylase 2
5532,207,10116,84577,Hdac2,histone deacetylase 2
5531,207,10090,15182,Hdac2,histone deacetylase 2
5530,207,9913,407223,HDAC2,histone deacetylase 2
5529,207,9615,475035,HDAC2,histone deacetylase 2
5528,207,9598,462950,HDAC2,histone deacetylase 2
5527,207,9606,3066,HDAC2,histone deacetylase 2
7796,5,10116,266738,Prop1,PROP paired-like homeobox 1
7795,5,10090,19127,Prop1,paired like homeodomain factor 1
7794,5,9913,282563,PROP1,PROP paired-like homeobox 1
7793,5,9615,474647,PROP1,PROP paired-like homeobox 1
7792,5,9598,471762,PROP1,PROP paired-like homeobox 1
7791,5,9606,5626,PROP1,PROP paired-like homeobox 1
5380,221,7165,1278082,AgaP_AGAP007873,AgaP_AGAP007873
5381,221,4932,853632,TOR2,TOR2
5379,221,7227,47396,Tor,Target of rapamycin
5378,221,7955,324254,mtor,mechanistic target of rapamycin (serine/threonine kinase)
5377,221,9031,419455,MTOR,mechanistic target of rapamycin (serine/threonine kinase)
5376,221,10116,56718,Mtor,mechanistic target of rapamycin (serine/threonine kinase)
5375,221,10090,56717,Mtor,mechanistic target of rapamycin (serine/threonine kinase)
5373,221,9615,478232,MTOR,mechanistic target of rapamycin (serine/threonine kinase)
5374,221,9913,100139219,MTOR,mechanistic target of rapamycin (serine/threonine kinase)
5372,221,9598,457945,MTOR,mechanistic target of rapamycin (serine/threonine kinase)
5371,221,9606,2475,MTOR,mechanistic target of rapamycin (serine/threonine kinase)
6001,165,10090,19229,Ptk2b,PTK2 protein tyrosine kinase 2 beta
6000,165,9913,541008,PTK2B,PTK2B protein tyrosine kinase 2 beta
5999,165,9615,486102,PTK2B,protein tyrosine kinase 2 beta
5998,165,9544,712787,PTK2B,PTK2B protein tyrosine kinase 2 beta
5997,165,9598,464073,PTK2B,PTK2B protein tyrosine kinase 2 beta
5996,165,9606,2185,PTK2B,protein tyrosine kinase 2 beta
6283,137,9031,374198,APP,amyloid beta (A4) precursor protein
6282,137,10116,54226,App,amyloid beta (A4) precursor protein
6280,137,9913,280722,APP,amyloid beta (A4) precursor protein
6281,137,10090,11820,App,amyloid beta (A4) precursor protein
6279,137,9615,403407,APP,amyloid beta (A4) precursor protein
6278,137,9544,100427716,APP,amyloid beta (A4) precursor protein
6277,137,9598,473931,APP,amyloid beta (A4) precursor protein
6276,137,9606,351,APP,amyloid beta (A4) precursor protein
7055,74,7955,30591,hsp90aa1.1,"heat shock protein 90, alpha (cytosolic), class A member 1, tandem duplicate 1"
7054,74,7955,565155,hsp90aa1.2,"heat shock protein 90, alpha (cytosolic), class A member 1, tandem duplicate 2"
7053,74,9031,423463,HSP90AA1,"heat shock protein 90kDa alpha (cytosolic), class A member 1"
7052,74,10116,299331,Hsp90aa1,"heat shock protein 90, alpha (cytosolic), class A member 1"
7051,74,10090,15519,Hsp90aa1,"heat shock protein 90, alpha (cytosolic), class A member 1"
7050,74,9913,281832,HSP90AA1,"heat shock protein 90kDa alpha (cytosolic), class A member 1"
7049,74,9615,480438,HSP90AA1,"heat shock protein 90kDa alpha (cytosolic), class A member 1"
7048,74,9544,708431,HSP90AA1,"heat shock protein 90kDa alpha (cytosolic), class A member 1"
7047,74,9598,743883,HSP90AA1,"heat shock protein 90kDa alpha (cytosolic), class A member 1"
7046,74,9606,3320,HSP90AA1,"heat shock protein 90kDa alpha (cytosolic), class A member 1"
4950,257,6239,187542,R03G5.5,R03G5.5
4951,257,4932,852546,GPX2,GPX2
4949,257,6239,188313,T09A12.2,T09A12.2
4948,257,7955,352929,gpx4b,glutathione peroxidase 4b
4947,257,10116,29328,Gpx4,glutathione peroxidase 4
4946,257,10090,625249,Gpx4,glutathione peroxidase 4
4945,257,9913,286809,GPX4,glutathione peroxidase 4
4944,257,9544,705333,GPX4,glutathione peroxidase 4
4943,257,9606,2879,GPX4,glutathione peroxidase 4
7370,47,9031,374128,PDGFB,platelet-derived growth factor beta polypeptide
7371,47,7955,796490,LOC796490,uncharacterized LOC796490
7369,47,10116,24628,Pdgfb,platelet-derived growth factor beta polypeptide
7367,47,9913,540106,PDGFB,platelet-derived growth factor beta polypeptide
7368,47,10090,18591,Pdgfb,"platelet derived growth factor, B polypeptide"
7366,47,9615,442986,PDGFB,platelet-derived growth factor beta polypeptide
7365,47,9544,703173,PDGFB,platelet-derived growth factor beta polypeptide
7364,47,9598,458844,PDGFB,platelet-derived growth factor beta polypeptide
7363,47,9606,5155,PDGFB,platelet-derived growth factor beta polypeptide
7498,34,10090,384783,Irs2,insulin receptor substrate 2
7497,34,9913,100300012,IRS2,insulin receptor substrate 2
7496,34,9615,485548,IRS2,insulin receptor substrate 2
7495,34,9544,698536,IRS2,insulin receptor substrate 2
7494,34,9598,452657,IRS2,insulin receptor substrate 2
7493,34,9606,8660,IRS2,insulin receptor substrate 2
6835,93,7165,1273829,AgaP_AGAP003158,AgaP_AGAP003158
6834,93,7955,550537,stk11,serine/threonine kinase 11
6833,93,9031,420105,STK11,serine/threonine kinase 11
6832,93,10116,314621,Stk11,serine/threonine kinase 11
6831,93,10090,20869,Stk11,serine/threonine kinase 11
6830,93,9615,485088,STK11,serine/threonine kinase 11
6829,93,9544,705686,STK11,serine/threonine kinase 11
6828,93,9598,468641,STK11,serine/threonine kinase 11
6827,93,9606,6794,STK11,serine/threonine kinase 11
7781,8,8364,101731917,tert,telomerase reverse transcriptase
7780,8,7955,796551,tert,telomerase reverse transcriptase
7779,8,9031,420972,TERT,telomerase reverse transcriptase
7778,8,10116,301965,Tert,telomerase reverse transcriptase
7777,8,10090,21752,Tert,telomerase reverse transcriptase
7776,8,9913,518884,TERT,telomerase reverse transcriptase
7774,8,9598,101058547,TERT,telomerase reverse transcriptase
7775,8,9615,403412,TERT,telomerase reverse transcriptase
7773,8,9606,7015,TERT,telomerase reverse transcriptase
5316,227,5141,3872306,NCU00043,NCU00043
5317,227,3702,823835,TOPP5,TOPP5
5314,227,4896,2541193,dis2,dis2
5315,227,318829,2681767,MGG_10195,MGG_10195
5313,227,33169,4621968,AGOS_AFR166C,AGOS_AFR166C
5312,227,28985,2894941,KLLA0F12496g,KLLA0F12496g
5310,227,6239,3564807,gsp-2,gsp-2
5311,227,4932,856870,GLC7,GLC7
5309,227,7955,407980,ppp1caa,"protein phosphatase 1, catalytic subunit, alpha isoform a"
5308,227,7955,327301,ppp1cab,"protein phosphatase 1, catalytic subunit, alpha isoform b"
5306,227,10090,19045,Ppp1ca,"protein phosphatase 1, catalytic subunit, alpha isoform"
5307,227,10116,24668,Ppp1ca,"protein phosphatase 1, catalytic subunit, alpha isozyme"
5305,227,9913,516175,PPP1CA,"protein phosphatase 1, catalytic subunit, alpha isozyme"
5304,227,9615,403609,PPP1CA,"protein phosphatase 1, catalytic subunit, alpha isozyme"
5303,227,9544,721735,PPP1CA,"protein phosphatase 1, catalytic subunit, alpha isozyme"
5302,227,9598,745709,PPP1CA,"protein phosphatase 1, catalytic subunit, alpha isozyme"
5301,227,9606,5499,PPP1CA,"protein phosphatase 1, catalytic subunit, alpha isozyme"
5940,170,10090,20683,Sp1,trans-acting transcription factor 1
5939,170,9913,540741,SP1,Sp1 transcription factor
5938,170,9615,486507,SP1,Sp1 transcription factor
5937,170,9544,702710,SP1,Sp1 transcription factor
5936,170,9598,451939,SP1,Sp1 transcription factor
5935,170,9606,6667,SP1,Sp1 transcription factor
6248,143,7955,415099,rela,v-rel reticuloendotheliosis viral oncogene homolog A
6247,143,9031,396027,RELA,v-rel reticuloendotheliosis viral oncogene homolog A (avian)
6239,144,9031,395337,IL6,"interleukin 6 (interferon, beta 2)"
6238,144,10116,24498,Il6,interleukin 6
6232,145,8364,448549,rgn,regucalcin (senescence marker protein-30)
6053,159,8364,100124945,hspd1,heat shock 60kDa protein 1 (chaperonin)
6052,159,4530,4331590,Os03g0143400,Os03g0143400
6051,159,4530,4348824,Os10g0462900,Os10g0462900
6050,159,3702,821983,HSP60,HSP60
6049,159,5141,3872647,NCU01589,NCU01589
6047,159,4896,2543131,mcp60,mcp60
6048,159,318829,2676963,MGG_03165,MGG_03165
7544,29,9913,281240,IGF2,insulin-like growth factor 2 (somatomedin A)
7543,29,9615,483664,IGF2,insulin-like growth factor 2 (somatomedin A)
7542,29,9544,721120,LOC721120,insulin-like growth factor II-like
7541,29,9598,742381,IGF2,insulin-like growth factor 2 (somatomedin A)
7540,29,9606,3481,IGF2,insulin-like growth factor 2 (somatomedin A)
4982,254,10116,313262,Pappa,pregnancy-associated plasma protein A
4981,254,10090,18491,Pappa,pregnancy-associated plasma protein A
4980,254,9913,282647,PAPPA,"pregnancy-associated plasma protein A, pappalysin 1"
4979,254,9615,481692,PAPPA,"pregnancy-associated plasma protein A, pappalysin 1"
4978,254,9544,706783,PAPPA,"pregnancy-associated plasma protein A, pappalysin 1"
4977,254,9598,464690,PAPPA,"pregnancy-associated plasma protein A, pappalysin 1"
4976,254,9606,5069,PAPPA,"pregnancy-associated plasma protein A, pappalysin 1"
7626,20,10090,18034,Nfkb2,"nuclear factor of kappa light polypeptide gene enhancer in B cells 2, p49/p100"
7625,20,9913,526392,NFKB2,nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)
7624,20,9615,486858,NFKB2,nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)
7623,20,9544,714689,NFKB2,nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)
7622,20,9598,450697,NFKB2,nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)
7621,20,9606,4791,NFKB2,nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)
5799,183,9031,428703,FOXO4,forkhead box O4
5798,183,10116,302415,Foxo4,forkhead box O4
5797,183,10090,54601,Foxo4,forkhead box O4
5795,183,9615,100855644,FOXO4,forkhead box O4
5796,183,9913,618793,FOXO4,forkhead box O4
5794,183,9598,473659,FOXO4,forkhead box O4
5793,183,9606,4303,FOXO4,forkhead box O4
6878,88,10090,12606,Cebpa,"CCAAT/enhancer binding protein (C/EBP), alpha"
6877,88,9913,281677,CEBPA,"CCAAT/enhancer binding protein (C/EBP), alpha"
6876,88,9544,717153,LOC717153,CCAAT/enhancer-binding protein alpha-like
6875,88,9598,746673,CEBPA,"CCAAT/enhancer binding protein (C/EBP), alpha"
6874,88,9606,1050,CEBPA,"CCAAT/enhancer binding protein (C/EBP), alpha"
7577,25,7955,393965,hdac3,histone deacetylase 3
7576,25,9031,395506,HDAC3,histone deacetylase 3
7575,25,10116,84578,Hdac3,histone deacetylase 3
7574,25,10090,15183,Hdac3,histone deacetylase 3
7573,25,9913,404125,HDAC3,histone deacetylase 3
7572,25,9615,478040,HDAC3,histone deacetylase 3
7571,25,9544,704467,HDAC3,histone deacetylase 3
7570,25,9598,738624,HDAC3,histone deacetylase 3
7569,25,9606,8841,HDAC3,histone deacetylase 3
6293,136,10116,29545,Uchl1,ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)
6292,136,10090,22223,Uchl1,ubiquitin carboxy-terminal hydrolase L1
6291,136,9913,514394,UCHL1,ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)
6290,136,9615,479098,UCHL1,ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)
6289,136,9544,701579,LOC701579,ubiquitin carboxyl-terminal hydrolase isozyme L1-like
6288,136,9598,461185,UCHL1,ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)
6287,136,9606,7345,UCHL1,ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)
5807,182,9913,327696,SDHC,"succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa"
5806,182,9615,478983,SDHC,"succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa"
5805,182,9544,702309,LOC702309,"succinate dehydrogenase cytochrome b560 subunit, mitochondrial-like"
5804,182,9544,701966,LOC701966,"succinate dehydrogenase cytochrome b560 subunit, mitochondrial-like"
5803,182,9544,719978,SDHC,"succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa"
5802,182,9606,6391,SDHC,"succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa"
7648,18,10090,13555,E2f1,E2F transcription factor 1
7647,18,9913,535369,E2F1,E2F transcription factor 1
7646,18,9615,485839,E2F1,E2F transcription factor 1
7645,18,9544,714126,E2F1,E2F transcription factor 1
7644,18,9598,458184,E2F1,E2F transcription factor 1
7643,18,9606,1869,E2F1,E2F transcription factor 1
5182,238,7955,333974,gclm,"glutamate-cysteine ligase, modifier subunit"
5181,238,9031,424492,GCLM,"glutamate-cysteine ligase, modifier subunit"
