id_go,hagrid,go,name,type
27688,3,31532,actin cytoskeleton reorganization,P
27687,3,7265,Ras protein signal transduction,P
27686,3,165,MAPK cascade,P
27685,3,165,MAPK cascade,P
27684,3,36498,IRE1-mediated unfolded protein response,P
27683,3,38095,Fc-epsilon receptor signaling pathway,P
27682,3,38128,ERBB2 signaling pathway,P
27681,3,5068,transmembrane receptor protein tyrosine kinase adaptor activity,F
27680,3,5515,protein binding,F
27679,3,5543,phospholipid binding,F
27678,3,5168,neurotrophin TRKA receptor binding,F
27677,3,5159,insulin-like growth factor receptor binding,F
27676,3,5158,insulin receptor binding,F
27675,3,5154,epidermal growth factor receptor binding,F
27674,3,48408,epidermal growth factor binding,F
27673,3,46875,ephrin receptor binding,F
27672,3,5088,Ras guanyl-nucleotide exchange factor activity,F
27658,4,51169,nuclear transport,P
27656,4,8285,negative regulation of cell proliferation,P
27657,4,122,negative regulation of transcription from RNA polymerase II promoter,P
27655,4,8340,determination of adult lifespan,P
27654,4,1708,cell fate specification,P
27653,4,30183,B cell differentiation,P
27652,4,1077,"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding",F
27651,4,3700,"transcription factor activity, sequence-specific DNA binding",F
27650,4,3714,transcription corepressor activity,F
27649,4,3682,chromatin binding,F
27648,4,1085,RNA polymerase II transcription factor binding,F
27647,4,981,"RNA polymerase II transcription factor activity, sequence-specific DNA binding",F
27646,4,1105,RNA polymerase II transcription coactivator activity,F
27645,4,978,RNA polymerase II core promoter proximal region sequence-specific DNA binding,F
27644,4,1102,RNA polymerase II activating transcription factor binding,F
27633,5,7417,central nervous system development,P
27632,5,16477,cell migration,P
27631,5,60070,canonical Wnt signaling pathway,P
27630,5,1568,blood vessel development,P
27629,5,1206,"transcriptional repressor activity, RNA polymerase II distal enhancer sequence-specific binding",F
27628,5,1205,"transcriptional activator activity, RNA polymerase II distal enhancer sequence-specific binding",F
27627,5,5515,protein binding,F
27626,5,8022,protein C-terminus binding,F
27624,5,8013,beta-catenin binding,F
27625,5,3682,chromatin binding,F
27623,5,980,RNA polymerase II distal enhancer sequence-specific DNA binding,F
27526,6,8270,zinc ion binding,F
27524,6,1228,"transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding",F
27525,6,31625,ubiquitin protein ligase binding,F
27522,6,8134,transcription factor binding,F
27523,6,44212,transcription regulatory region DNA binding,F
27521,6,3700,"transcription factor activity, sequence-specific DNA binding",F
27520,6,43565,sequence-specific DNA binding,F
27519,6,30971,receptor tyrosine kinase binding,F
27518,6,43621,protein self-association,F
27517,6,19903,protein phosphatase binding,F
27516,6,51721,protein phosphatase 2A binding,F
27515,6,19901,protein kinase binding,F
27514,6,46982,protein heterodimerization activity,F
27513,6,5515,protein binding,F
27511,6,2020,protease binding,F
27512,6,47485,protein N-terminus binding,F
27510,6,2039,p53 binding,F
27509,6,42802,identical protein binding,F
27508,6,35035,histone acetyltransferase binding,F
27507,6,19899,enzyme binding,F
27506,6,3690,double-stranded DNA binding,F
27505,6,3684,damaged DNA binding,F
27503,6,5507,copper ion binding,F
27504,6,1046,core promoter sequence-specific DNA binding,F
27501,6,51087,chaperone binding,F
27502,6,3682,chromatin binding,F
27500,6,1085,RNA polymerase II transcription factor binding,F
27499,6,981,"RNA polymerase II transcription factor activity, sequence-specific DNA binding",F
27496,6,5524,ATP binding,F
27497,6,3677,DNA binding,F
27498,6,977,RNA polymerase II regulatory region sequence-specific DNA binding,F
27584,6,45944,positive regulation of transcription from RNA polymerase II promoter,P
27583,6,45944,positive regulation of transcription from RNA polymerase II promoter,P
27582,6,70245,positive regulation of thymocyte apoptotic process,P
27581,6,90200,positive regulation of release of cytochrome c from mitochondria,P
27580,6,2000379,positive regulation of reactive oxygen species metabolic process,P
27579,6,32461,positive regulation of protein oligomerization,P
27578,6,1900740,positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,P
27577,6,46827,positive regulation of protein export from nucleus,P
27576,6,50731,positive regulation of peptidyl-tyrosine phosphorylation,P
27575,6,43525,positive regulation of neuron apoptotic process,P
27574,6,2001244,positive regulation of intrinsic apoptotic signaling pathway,P
27573,6,31065,positive regulation of histone deacetylation,P
27572,6,10628,positive regulation of gene expression,P
27571,6,1900119,positive regulation of execution phase of apoptosis,P
27570,6,71158,positive regulation of cell cycle arrest,P
27569,6,43065,positive regulation of apoptotic process,P
27568,6,90403,oxidative stress-induced premature senescence,P
27567,6,97252,oligodendrocyte apoptotic process,P
27566,6,6289,nucleotide-excision repair,P
27565,6,45892,"negative regulation of transcription, DNA-templated",P
27564,6,45892,"negative regulation of transcription, DNA-templated",P
27563,6,122,negative regulation of transcription from RNA polymerase II promoter,P
27562,6,51974,negative regulation of telomerase activity,P
27561,6,51097,negative regulation of helicase activity,P
27560,6,48147,negative regulation of fibroblast proliferation,P
27559,6,8285,negative regulation of cell proliferation,P
27558,6,8285,negative regulation of cell proliferation,P
27557,6,8285,negative regulation of cell proliferation,P
27556,6,30308,negative regulation of cell growth,P
27555,6,43066,negative regulation of apoptotic process,P
27554,6,7275,multicellular organism development,P
27553,6,31571,mitotic G1 DNA damage checkpoint,P
27552,6,42771,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,P
27551,6,72332,intrinsic apoptotic signaling pathway by p53 class mediator,P
27550,6,97193,intrinsic apoptotic signaling pathway,P
27549,6,43153,entrainment of circadian clock by photoperiod,P
27548,6,8340,determination of adult lifespan,P
27546,6,31497,chromatin assembly,P
27547,6,48512,circadian behavior,P
27545,6,71479,cellular response to ionizing radiation,P
27544,6,71456,cellular response to hypoxia,P
27543,6,42149,cellular response to glucose starvation,P
27542,6,35690,cellular response to drug,P
27541,6,34644,cellular response to UV,P
27540,6,6974,cellular response to DNA damage stimulus,P
27539,6,8283,cell proliferation,P
27538,6,30154,cell differentiation,P
27537,6,7050,cell cycle arrest,P
27536,6,7050,cell cycle arrest,P
27535,6,7569,cell aging,P
27534,6,6284,base-excision repair,P
27533,6,7265,Ras protein signal transduction,P
27532,6,6983,ER overload response,P
27531,6,733,DNA strand renaturation,P
27530,6,6978,"DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator",P
27529,6,6977,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",P
27528,6,30330,"DNA damage response, signal transduction by p53 class mediator",P
27527,6,30330,"DNA damage response, signal transduction by p53 class mediator",P
27432,8,3721,telomerase RNA reverse transcriptase activity,F
27431,8,3721,telomerase RNA reverse transcriptase activity,F
27430,8,3721,telomerase RNA reverse transcriptase activity,F
27429,8,3721,telomerase RNA reverse transcriptase activity,F
27428,8,70034,telomerase RNA binding,F
27427,8,70034,telomerase RNA binding,F
27426,8,49,tRNA binding,F
27425,8,42803,protein homodimerization activity,F
27424,8,42803,protein homodimerization activity,F
27423,8,5515,protein binding,F
27422,8,16779,nucleotidyltransferase activity,F
27421,8,46872,metal ion binding,F
27420,8,3964,RNA-directed DNA polymerase activity,F
27419,8,3968,RNA-directed 5'-3' RNA polymerase activity,F
27418,8,3723,RNA binding,F
27417,8,3677,DNA binding,F
27363,9,71044,histone mRNA catabolic process,P
27362,9,7507,heart development,P
27361,9,7143,female meiotic division,P
27360,9,97695,establishment of macromolecular complex localization to telomere,P
27359,9,97694,establishment of RNA localization to telomere,P
27358,9,6303,double-strand break repair via nonhomologous end joining,P
27357,9,724,double-strand break repair via homologous recombination,P
27356,9,8340,determination of adult lifespan,P
27355,9,71500,cellular response to nitrosative stress,P
27354,9,71480,cellular response to gamma radiation,P
27353,9,71481,cellular response to X-ray,P
27352,9,6974,cellular response to DNA damage stimulus,P
27351,9,7050,cell cycle arrest,P
27350,9,7420,brain development,P
27349,9,33151,V(D)J recombination,P
27348,9,731,DNA synthesis involved in DNA repair,P
27347,9,6260,DNA replication,P
27346,9,6281,DNA repair,P
27345,9,729,DNA double-strand break processing,P
27344,9,6977,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",P
27343,9,6975,DNA damage induced protein phosphorylation,P
27342,9,6975,DNA damage induced protein phosphorylation,P
27341,9,4674,protein serine/threonine kinase activity,F
27340,9,4674,protein serine/threonine kinase activity,F
27339,9,46983,protein dimerization activity,F
27338,9,32403,protein complex binding,F
27337,9,5515,protein binding,F
27336,9,47485,protein N-terminus binding,F
27335,9,4677,DNA-dependent protein kinase activity,F
27334,9,3677,DNA binding,F
27333,9,5524,ATP binding,F
27332,9,16303,1-phosphatidylinositol-3-kinase activity,F
27321,10,2000097,regulation of smooth muscle cell-matrix adhesion,P
27320,10,14910,regulation of smooth muscle cell migration,P
27319,10,10469,regulation of receptor activity,P
27318,10,42127,regulation of cell proliferation,P
27317,10,33628,regulation of cell adhesion mediated by integrin,P
27316,10,6508,proteolysis,P
27315,10,30335,positive regulation of cell migration,P
27314,10,42730,fibrinolysis,P
27313,10,6935,chemotaxis,P
27312,10,7596,blood coagulation,P
27311,10,4252,serine-type endopeptidase activity,F
27310,10,4252,serine-type endopeptidase activity,F
27309,10,5515,protein binding,F
27284,11,6468,protein phosphorylation,P
27283,11,9791,post-embryonic development,P
27282,11,45893,"positive regulation of transcription, DNA-templated",P
27281,11,45944,positive regulation of transcription from RNA polymerase II promoter,P
27280,11,43388,positive regulation of DNA binding,P
27279,11,6293,"nucleotide-excision repair, preincision complex stabilization",P
27278,11,6294,"nucleotide-excision repair, preincision complex assembly",P
27277,11,6296,"nucleotide-excision repair, DNA incision, 5'-to lesion",P
27276,11,6295,"nucleotide-excision repair, DNA incision, 3'-to lesion",P
27275,11,33683,"nucleotide-excision repair, DNA incision",P
27274,11,33683,"nucleotide-excision repair, DNA incision",P
27273,11,717,"nucleotide-excision repair, DNA duplex unwinding",P
27272,11,6289,nucleotide-excision repair,P
27271,11,6289,nucleotide-excision repair,P
27270,11,35264,multicellular organism growth,P
27269,11,1701,in utero embryonic development,P
27268,11,60218,hematopoietic stem cell differentiation,P
27267,11,48820,hair follicle maturation,P
27266,11,35315,hair cell differentiation,P
27265,11,70911,global genome nucleotide-excision repair,P
27264,11,30198,extracellular matrix organization,P
27263,11,43249,erythrocyte maturation,P
27262,11,48568,embryonic organ development,P
27261,11,40016,embryonic cleavage,P
27260,11,7059,chromosome segregation,P
27259,11,32289,central nervous system myelin formation,P
27258,11,8283,cell proliferation,P
27257,11,30282,bone mineralization,P
27256,11,6915,apoptotic process,P
27255,11,7568,aging,P
27254,11,9650,UV protection,P
27253,11,6370,7-methylguanosine mRNA capping,P
27252,11,4672,protein kinase activity,F
27251,11,5515,protein binding,F
27250,11,47485,protein N-terminus binding,F
27249,11,8022,protein C-terminus binding,F
27248,11,46872,metal ion binding,F
27247,11,8353,RNA polymerase II carboxy-terminal domain kinase activity,F
27246,11,8094,DNA-dependent ATPase activity,F
27245,11,8094,DNA-dependent ATPase activity,F
27244,11,3677,DNA binding,F
27243,11,4003,ATP-dependent DNA helicase activity,F
27242,11,5524,ATP binding,F
27241,11,43139,5'-3' DNA helicase activity,F
27240,11,51539,"4 iron, 4 sulfur cluster binding",F
27234,12,31464,Cul4A-RING E3 ubiquitin ligase complex,C
27233,12,6283,transcription-coupled nucleotide-excision repair,P
27232,12,6283,transcription-coupled nucleotide-excision repair,P
27231,12,6283,transcription-coupled nucleotide-excision repair,P
27230,12,6979,response to oxidative stress,P
27228,12,10165,response to X-ray,P
27229,12,6979,response to oxidative stress,P
27227,12,9411,response to UV,P
27226,12,209,protein polyubiquitination,P
27225,12,51865,protein autoubiquitination,P
27224,12,43161,proteasome-mediated ubiquitin-dependent protein catabolic process,P
27223,12,6289,nucleotide-excision repair,P
27222,12,6974,cellular response to DNA damage stimulus,P
27221,12,4842,ubiquitin-protein transferase activity,F
27220,12,32403,protein complex binding,F
27219,12,5515,protein binding,F
27218,12,8094,DNA-dependent ATPase activity,F
27217,12,3678,DNA helicase activity,F
27192,13,6302,double-strand break repair,P
27191,13,9267,cellular response to starvation,P
27190,13,71480,cellular response to gamma radiation,P
27189,13,6974,cellular response to DNA damage stimulus,P
27188,13,7569,cell aging,P
27187,13,7420,brain development,P
27186,13,6284,base-excision repair,P
27185,13,7568,aging,P
27184,13,731,DNA synthesis involved in DNA repair,P
27183,13,731,DNA synthesis involved in DNA repair,P
27182,13,6260,DNA replication,P
27181,13,6260,DNA replication,P
27180,13,6259,DNA metabolic process,P
27179,13,32508,DNA duplex unwinding,P
27178,13,42803,protein homodimerization activity,F
27177,13,32403,protein complex binding,F
27176,13,5515,protein binding,F
27175,13,30145,manganese ion binding,F
27174,13,287,magnesium ion binding,F
27173,13,4386,helicase activity,F
27172,13,9378,four-way junction helicase activity,F
27171,13,4527,exonuclease activity,F
27170,13,3682,chromatin binding,F
27169,13,405,bubble DNA binding,F
27168,13,403,Y-form DNA binding,F
27167,13,51880,G-quadruplex DNA binding,F
27166,13,3678,DNA helicase activity,F
27165,13,3678,DNA helicase activity,F
27164,13,3677,DNA binding,F
27163,13,16887,ATPase activity,F
27162,13,4003,ATP-dependent DNA helicase activity,F
27161,13,43140,ATP-dependent 3'-5' DNA helicase activity,F
27160,13,5524,ATP binding,F
27159,13,8408,3'-5' exonuclease activity,F
27158,13,43138,3'-5' DNA helicase activity,F
27148,14,5829,cytosol,C
27147,14,5737,cytoplasm,C
27146,14,55015,ventricular cardiac muscle cell development,P
27145,14,35105,sterol regulatory element binding protein import into nucleus,P
27144,14,1900180,regulation of protein localization to nucleus,P
27143,14,30334,regulation of cell migration,P
27142,14,34504,protein localization to nucleus,P
27141,14,90343,positive regulation of cell aging,P
27140,14,90201,negative regulation of release of cytochrome c from mitochondria,P
27139,14,72201,negative regulation of mesenchymal cell proliferation,P
27138,14,2001237,negative regulation of extrinsic apoptotic signaling pathway,P
27137,14,7084,mitotic nuclear envelope reassembly,P
27136,14,7077,mitotic nuclear envelope disassembly,P
27135,14,30951,establishment or maintenance of microtubule cytoskeleton polarity,P
27134,14,71456,cellular response to hypoxia,P
27133,14,36498,IRE1-mediated unfolded protein response,P
27132,14,5198,structural molecule activity,F
27131,14,5515,protein binding,F
27128,15,5886,plasma membrane,C
27127,15,16020,membrane,C
27126,15,43231,intracellular membrane-bounded organelle,C
27125,15,5887,integral component of plasma membrane,C
27124,15,35867,alphav-beta3 integrin-IGF-1-IGF1R complex,C
27123,15,7165,signal transduction,P
27122,15,46328,regulation of JNK cascade,P
27121,15,51262,protein tetramerization,P
27120,15,46777,protein autophosphorylation,P
27119,15,8284,positive regulation of cell proliferation,P
27118,15,30335,positive regulation of cell migration,P
27117,15,45740,positive regulation of DNA replication,P
27116,15,48015,phosphatidylinositol-mediated signaling,P
27115,15,14065,phosphatidylinositol 3-kinase signaling,P
27114,15,38083,peptidyl-tyrosine autophosphorylation,P
27113,15,43066,negative regulation of apoptotic process,P
27112,15,48009,insulin-like growth factor receptor signaling pathway,P
27111,15,8286,insulin receptor signaling pathway,P
27110,15,51389,inactivation of MAPKK activity,P
27109,15,6955,immune response,P
27108,15,4713,protein tyrosine kinase activity,F
27107,15,4713,protein tyrosine kinase activity,F
27106,15,4713,protein tyrosine kinase activity,F
27105,15,5515,protein binding,F
27104,15,43548,phosphatidylinositol 3-kinase binding,F
27103,15,5010,insulin-like growth factor-activated receptor activity,F
27102,15,5520,insulin-like growth factor binding,F
27101,15,31994,insulin-like growth factor I binding,F
27100,15,31994,insulin-like growth factor I binding,F
27099,15,43560,insulin receptor substrate binding,F
27098,15,5158,insulin receptor binding,F
27097,15,43559,insulin binding,F
27096,15,42802,identical protein binding,F
27095,15,5524,ATP binding,F
27082,16,30091,protein repair,P
27081,16,51897,positive regulation of protein kinase B signaling,P
27080,16,33138,positive regulation of peptidyl-serine phosphorylation,P
27079,16,43388,positive regulation of DNA binding,P
27078,16,55114,oxidation-reduction process,P
27077,16,15949,nucleobase-containing small molecule interconversion,P
27076,16,122,negative regulation of transcription from RNA polymerase II promoter,P
27075,16,46826,negative regulation of protein export from nucleus,P
27074,16,1903206,negative regulation of hydrogen peroxide-induced cell death,P
27073,16,6928,movement of cell or subcellular component,P
27072,16,6662,glycerol ether metabolic process,P
27070,16,7267,cell-cell signaling,P
27071,16,98869,cellular oxidant detoxification,P
27069,16,45454,cell redox homeostasis,P
27068,16,8283,cell proliferation,P
27067,16,32148,activation of protein kinase B activity,P
27066,16,4791,thioredoxin-disulfide reductase activity,F
27065,16,47134,protein-disulfide reductase activity,F
27064,16,15035,protein disulfide oxidoreductase activity,F
27063,16,5515,protein binding,F
27062,16,44822,poly(A) RNA binding,F
27061,16,15037,peptide disulfide oxidoreductase activity,F
27060,16,16671,"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor",F
27044,17,1901657,glycosyl compound metabolic process,P
27043,17,8543,fibroblast growth factor receptor signaling pathway,P
27042,17,8543,fibroblast growth factor receptor signaling pathway,P
27041,17,6112,energy reserve metabolic process,P
27040,17,5975,carbohydrate metabolic process,P
27039,17,55074,calcium ion homeostasis,P
27038,17,7568,aging,P
27037,17,165,MAPK cascade,P
27036,17,5499,vitamin D binding,F
27035,17,4871,signal transducer activity,F
27034,17,46934,"phosphatidylinositol-4,5-bisphosphate 3-kinase activity",F
27033,17,5179,hormone activity,F
27032,17,5104,fibroblast growth factor receptor binding,F
27030,17,4566,beta-glucuronidase activity,F
27031,17,17134,fibroblast growth factor binding,F
27029,17,8422,beta-glucosidase activity,F
27028,17,5088,Ras guanyl-nucleotide exchange factor activity,F
27027,17,16303,1-phosphatidylinositol-3-kinase activity,F
26948,19,50900,leukocyte migration,P
26947,19,61582,intestinal epithelial cell migration,P
26946,19,7229,integrin-mediated signaling pathway,P
26945,19,48839,inner ear development,P
26944,19,9755,hormone-mediated signaling pathway,P
26943,19,42445,hormone metabolic process,P
26942,19,48873,homeostasis of number of cells within a tissue,P
26941,19,7507,heart development,P
26940,19,42593,glucose homeostasis,P
26939,19,48806,genitalia development,P
26938,19,8543,fibroblast growth factor receptor signaling pathway,P
26937,19,60325,face morphogenesis,P
26936,19,7173,epidermal growth factor receptor signaling pathway,P
26935,19,48013,ephrin receptor signaling pathway,P
26934,19,21697,cerebellar cortex formation,P
26933,19,7420,brain development,P
26932,19,7409,axonogenesis,P
26931,19,36302,atrioventricular canal development,P
26930,19,187,activation of MAPK activity,P
26929,19,33277,abortive mitotic cell cycle,P
26928,19,31295,T cell costimulation,P
26927,19,38127,ERBB signaling pathway,P
26926,19,77,DNA damage checkpoint,P
26925,19,60020,Bergmann glial cell differentiation,P
26924,19,30971,receptor tyrosine kinase binding,F
26923,19,4725,protein tyrosine phosphatase activity,F
26922,19,4725,protein tyrosine phosphatase activity,F
26921,19,19904,protein domain specific binding,F
26920,19,5515,protein binding,F
26919,19,4721,phosphoprotein phosphatase activity,F
26918,19,43274,phospholipase binding,F
26917,19,46934,"phosphatidylinositol-4,5-bisphosphate 3-kinase activity",F
26916,19,51428,peptide hormone receptor binding,F
26915,19,4726,non-membrane spanning protein tyrosine phosphatase activity,F
26914,19,4726,non-membrane spanning protein tyrosine phosphatase activity,F
26913,19,43560,insulin receptor substrate binding,F
26912,19,5158,insulin receptor binding,F
26911,19,50839,cell adhesion molecule binding,F
26910,19,5070,SH3/SH2 adaptor activity,F
26909,19,31748,D1 dopamine receptor binding,F
26908,19,16303,1-phosphatidylinositol-3-kinase activity,F
26894,20,32481,positive regulation of type I interferon production,P
26893,20,45944,positive regulation of transcription from RNA polymerase II promoter,P
26892,20,51092,positive regulation of NF-kappaB transcription factor activity,P
26891,20,122,negative regulation of transcription from RNA polymerase II promoter,P
26890,20,45087,innate immune response,P
26889,20,6954,inflammatory response,P
26888,20,2467,germinal center formation,P
26887,20,2268,follicular dendritic cell differentiation,P
26885,20,7568,aging,P
26886,20,30198,extracellular matrix organization,P
26884,20,38061,NIK/NF-kappaB signaling,P
26883,20,38061,NIK/NF-kappaB signaling,P
26882,20,7249,I-kappaB kinase/NF-kappaB signaling,P
26881,20,1077,"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding",F
26880,20,3700,"transcription factor activity, sequence-specific DNA binding",F
26879,20,3713,transcription coactivator activity,F
26878,20,5515,protein binding,F
26877,20,3682,chromatin binding,F
26876,20,978,RNA polymerase II core promoter proximal region sequence-specific DNA binding,F
26853,21,40018,positive regulation of multicellular organism growth,P
26852,21,45931,positive regulation of mitotic cell cycle,P
26851,21,45086,positive regulation of interleukin-2 biosynthetic process,P
26850,21,50729,positive regulation of inflammatory response,P
26849,21,45588,positive regulation of gamma-delta T cell differentiation,P
26848,21,45648,positive regulation of erythrocyte differentiation,P
26847,21,42104,positive regulation of activated T cell proliferation,P
26846,21,45579,positive regulation of B cell differentiation,P
26845,21,18108,peptidyl-tyrosine phosphorylation,P
26844,21,6107,oxaloacetate metabolic process,P
26843,21,45647,negative regulation of erythrocyte differentiation,P
26842,21,43066,negative regulation of apoptotic process,P
26841,21,1779,natural killer cell differentiation,P
26840,21,97531,mast cell migration,P
26839,21,1553,luteinization,P
26838,21,19915,lipid storage,P
26837,21,7595,lactation,P
26836,21,6549,isoleucine metabolic process,P
26835,21,7565,female pregnancy,P
26834,21,6631,fatty acid metabolic process,P
26833,21,46544,development of secondary male sexual characteristics,P
26832,21,46543,development of secondary female sexual characteristics,P
26831,21,46449,creatinine metabolic process,P
26830,21,6600,creatine metabolic process,P
26829,21,6101,citrate metabolic process,P
26828,21,32870,cellular response to hormone stimulus,P
26827,21,71363,cellular response to growth factor stimulus,P
26826,21,71364,cellular response to epidermal growth factor stimulus,P
26825,21,255,allantoin metabolic process,P
26824,21,43029,T cell homeostasis,P
26823,21,33077,T cell differentiation in thymus,P
26822,21,48541,Peyer's patch development,P
26821,21,60397,JAK-STAT cascade involved in growth hormone signaling pathway,P
26820,21,60397,JAK-STAT cascade involved in growth hormone signaling pathway,P
26819,21,7259,JAK-STAT cascade,P
26818,21,6103,2-oxoglutarate metabolic process,P
26817,21,1077,"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding",F
26816,21,3700,"transcription factor activity, sequence-specific DNA binding",F
26815,21,4871,signal transducer activity,F
26814,21,4713,protein tyrosine kinase activity,F
26813,21,19903,protein phosphatase binding,F
26812,21,46983,protein dimerization activity,F
26811,21,5515,protein binding,F
26810,21,35259,glucocorticoid receptor binding,F
26809,21,3682,chromatin binding,F
26808,21,979,RNA polymerase II core promoter sequence-specific DNA binding,F
26748,22,30522,intracellular receptor signaling pathway,P
26747,22,70102,interleukin-6-mediated signaling pathway,P
26746,22,70102,interleukin-6-mediated signaling pathway,P
26745,22,60396,growth hormone receptor signaling pathway,P
26744,22,42593,glucose homeostasis,P
26743,22,1754,eye photoreceptor cell differentiation,P
26742,22,97009,energy homeostasis,P
26741,22,42755,eating behavior,P
26740,22,19221,cytokine-mediated signaling pathway,P
26739,22,71407,cellular response to organic cyclic compound,P
26738,22,44320,cellular response to leptin stimulus,P
26737,22,32870,cellular response to hormone stimulus,P
26736,22,8283,cell proliferation,P
26735,22,48708,astrocyte differentiation,P
26734,22,7568,aging,P
26733,22,6953,acute-phase response,P
26732,22,60397,JAK-STAT cascade involved in growth hormone signaling pathway,P
26731,22,60397,JAK-STAT cascade involved in growth hormone signaling pathway,P
26730,22,7259,JAK-STAT cascade,P
26729,22,1228,"transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding",F
26728,22,1077,"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding",F
26727,22,44212,transcription regulatory region DNA binding,F
26726,22,8134,transcription factor binding,F
26725,22,3700,"transcription factor activity, sequence-specific DNA binding",F
26724,22,4871,signal transducer activity,F
26723,22,19903,protein phosphatase binding,F
26722,22,19901,protein kinase binding,F
26720,22,5515,protein binding,F
26721,22,46983,protein dimerization activity,F
26719,22,42802,identical protein binding,F
26718,22,35259,glucocorticoid receptor binding,F
26717,22,31490,chromatin DNA binding,F
26716,22,4879,"RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding",F
26715,22,1103,RNA polymerase II repressing transcription factor binding,F
26712,22,31730,CCR5 chemokine receptor binding,F
26713,22,3677,DNA binding,F
26714,22,978,RNA polymerase II core promoter proximal region sequence-specific DNA binding,F
26759,22,2000737,negative regulation of stem cell differentiation,P
26758,22,2001223,negative regulation of neuron migration,P
26757,22,1901215,negative regulation of neuron death,P
26756,22,10730,negative regulation of hydrogen peroxide biosynthetic process,P
26755,22,45820,negative regulation of glycolytic process,P
26754,22,8285,negative regulation of cell proliferation,P
26753,22,43066,negative regulation of apoptotic process,P
26752,22,6928,movement of cell or subcellular component,P
26751,22,35278,miRNA mediated inhibition of translation,P
26750,22,42789,mRNA transcription from RNA polymerase II promoter,P
26749,22,33210,leptin-mediated signaling pathway,P
