id,hagrid,why,band,location_start,location_end,orientation,phenotype
11,219,"mammal,putative",14q13,35401510,35404754,-1,"NFKBIA inhibits NF-kappa-B by forming a complex with it, and may be involved in inflammation, apoptosis, differentiation, and growth. Downregulation of NFKBIA with age appears to occur in the rat liver [871]. Transgenic mice expressing dominant-negative IkB, and exhibiting functional inhibition of NF-kB signaling in endothelial cells, were protected from age-related insulin resistance and vascular senescence and, displayed a prolonged lifespan. In addition, the mice had also decreased oxidative stress markers, increased muscle blood flow, enhanced active-phase locomotor activity, and aortic upregulation of mitochondrial sirtuin-related proteins [2115]. Whether NFKBIA plays a role in human ageing remains to be determined. "
12,220,"model,putative",8p21-p12,27596917,27615031,-1,"The functions of CLU are still unclear, but it may be involved in apoptosis. In flies, overexpression of human clusterin increased stress resistance and significantly extended lifespan [2116]. CLU-null mice had 50% less brain injury following neonatal hypoxia-ischemia [1748]. Inflammation was more severe in CLU-deficient mice [1749]. +p In humans, serum levels of CLU increase during type 2 diabetes and coronary heart disease [1230] and genome-wide association studies have identified variants of CLU to be associated with Alzheimer's disease [2003][2004]. There is however no direct evidence linking CLU to human ageing.\n"
13,215,downstream,9p24,4985245,5128183,1,"   JAK2 is a tyrosine kinase involved in cytokine receptor signalling. Disruption of JAK2 causes embryonic lethality due to the absence of definitive erythropoiesis [1175], however, knockdown or pharmacological inhibition of the JAK-STAT enhances satellite stem cell division potential, resulting in better muscle regeneration [3635]. \n   \n   +p Administrating JAK1/2 inhibitors to aged mice alleviates adipose and systemic inflammation, reduced frailty, and enhanced physical function. Upon JAK inhibition there was a reduction in inflammatory cytokines and chemokines. In addition, inhibition of the JAK pathway partially restored age-related decline in coordination [4344]. Inhibition of the JAK pathway using RNAi or JAK inhibitors in human cells suppresses the senescence associated secretory phenotype (SASP) [4344]. Its signalling functions and its association with a number of genes previously linked to ageing suggest JAK2 may play some role in ageing, even though a direct association of JAK2 with human ageing has not been established.\n"
14,100,downstream,22q13.1,37204237,37212376,-1,"The somatostatin (|SST|) receptor SSTR3 may play a role in the involution of the human thymus and other age-related pathologies [385]. It have been associated with melanoma [1683]. SSTR3 has not been directly related to ageing, but it could be part of signalling cascades related to ageing."
15,145,putative,Xp11.3,47078355,47093314,1,"RGN is mostly expressed in the liver, yet its functions remain obscure [723]. Its expression levels decline with age, and RGN has been linked to age-related changes in calcium signalling in the liver of rats [724]. RGN-null mice show susceptibility to |TNF|- and |FAS|-mediated apoptosis [182] and increased oxidative stress in brain [1634]. \n\nSMP30/SOD1-double knockout mice exhibit abnormal plasma lipid metabolism, hepatic lipid accumulation and premature death resulting from impaired VLDL secretion, both compared to wild type, SMP30-knockout and SOD1-knockout mice [3618]. \n\nA role for RGN in human ageing remains to be determined."
16,131,functional,12p13,2857681,2877155,-1,"A transcriptional regulator that is important in development, FOXM1 may also play a role in cell proliferation. In invertebrates, such as roundworms, the forkhead family has been linked to ageing [957]. In mice, FOXM1 has been associated with |GH1|-stimulated liver regeneration. Increased expression of FOXM1 in old mice restored hepatocyte proliferation to levels found in young animals [276]. It remains to be determined whether FOXM1 is involved in human ageing."
17,29,functional,11p15.5,2129112,2138974,-1,"Like |IGF1|, IGF2 is involved in growth and development. Unlike |IGF1|, IGF2 appears to be only active at early stages of development, such as embryonic growth. IGF2's role in ageing is unproven and its interest derives mostly from its connection with IGF1 and how the |IGF1|/|GH1| axis appears to regulate ageing in model organisms [425]. Mice with disrupted IGF2 are growth-deficient but their lifespan has not been studied [1309]. Polymorphisms in the human IGF2 gene have been associated with body mass index in adult males [1656]."
18,113,functional,20pter-p12,5114953,5120001,-1,"PCNA is an important player in DNA replication and, probably, in DNA repair. It has been associated with pathways suspect of being involved in human ageing, and it interacts with |WRN| [440]. PCNA levels have also been linked to cellular proliferation in aged rats [581]. \n\nIn humans, a hypomorphic PCNA mutation causes a syndrome displaying a neurodegenerative phenotype including short stature, hearing loss, premature aging, telangiectasia, neurodegeneration, and photosensitivity. Additionally, patient cells exhibit abnormalities in response to UV irradiation [3604]. \n\nTherefore, it is possible that PCNA influences human ageing even though more detailed studies are necessary to prove such hypothesis."
19,20,functional,10q24,102395596,102402529,1,"NFKB2 is a component of the NF-kappa-B complex, involved in oxidative pathways and a myriad of other processes. Its role in ageing is unclear, even though NFKB2 appears to be related to age-related changes in inflammation and maybe in other age-related processes too [260]. In addition, age-relation changes in NF-kappa-B have been reported for numerous tissues [261]."
20,186,putative,11q13,62690262,62706315,-1,"Mutations in the human BSCL2 gene have been associated with Bernardinelli-Seip congenital lipodystrophy, a possible segmental progeroid syndrome [151]. Its functions are unknown."
21,28,functional,12q23.2,102395867,102480645,-1,"IGF1 is a hormone that stimulates growth and mediates many of the actions of |GH1|. Like |GH1|, its circulating levels decline with age in humans. The |GH1|/IGFI axis is considered a possible player in the ageing process of several model organisms, including rodents [286]\n.\n+p IGF1 null mice show growth deficiency and usually are not viable, though some can reach adulthood [965]. Mutations that lower IGF1 levels in mice retard growth and extend lifespan [287], even if a definitive causative relation between IGF1 and ageing has not been demonstrated. In another study, including three different mice cohorts, it was reported that IGF1-deficient mutants, producing reduced levels of IGF1, display an increase in maximum lifespan, but not in the mean lifespan [3528]. Cardiac specific overexpression of IGF1 results in a 23% increase in median lifespan, though no increase in maximum lifespan [1902]. IGF1 signalling appears to integrate nutrient and temperature homeostasis in mice [4502]. Contrastly, congenital liver IGF1-deficient male mice, have a reduced lifespan (by ~20%). Inducing hypertension in these mice leads to cerebral microhaemorrhages which mimic the ageing phenotype [4501]. Additionally, inducibly deleting the liver IGF1 gene at one year of age impairs health span. The mice display compromised skeletal integrity, decreased body, kidney and quadriceps weight, and an increase in liver weight, inflammation, oxidative stress and tumors [3556]. \n\n+p In humans, IGF1 levels have been associated with several pathologies. High levels of IGF1 have been found to be associated with risk of breast cancer [993]. On the other hand, low levels of IGF1 have been associated with osteoporosis [1923]. Genotype combinations in the human |PIK3CB| and |IGF1R| genes have been related to plasma IGF1 levels and longevity [141].\n\nLow levels of IGF-1 in nonagenarians females (but not males), and both males and females with a history of cancer, predicts longer survival chances [3599]. Despite being a putative regulator of ageing, IGF1's exact influence on human ageing is not known.\n"
22,31,putative,1p13.1,115285916,115338236,-1,"A neurotrophin important for the development and maintenance of the central nervous system, NGF stimulates division and differentiation [319]. It has been linked with neurodegenerative age-related pathology [318]."
23,6,"mammal,model,cell",17p13.1,7668401,7687550,-1,"    TP53 is a tumour suppressor involved in cell cycle regulation, apoptosis, and DNA repair [88]. Several lines of evidence from model organisms link TP53 to ageing, in agreement with its DNA damage protection role. \n\n   +p In flies, expression of a dominant-negative version of TP53 extends lifespan [1567]. Mice with a permanently activated form of TP53 display signs of premature ageing starting at about 18 months of age [11], as do mice heterozygous for TP53 that lack |BRCA1| [37]. Overexpression of p44 (one of the short isoforms of p53) also causes a progeroid phenotype [1146], including phosphorylation of tau, synaptic deficits, and cognitive decline [3587]. Additionally, levels of p44 increase with age in the mouse brain [3587]. However, increased but regulated TP53 and |CDKN2A| activity has been found to ameliorate age-associated central nervous system functional decline in mice, acting to maintain the stem cell pool. This regulated TP53 activity provides a mechanism for extended lifespan and also health span in mice [4333].  \n\n    +p Human mutations in TP53 have been associated with cancer [92]. People with a polymorphism that decreases the apoptotic potential of TP53 have increased survival despite a higher proportional mortality from cancer [1290]. The myriad of functions and interactions of TP53, as well as the findings from model organisms, make it a possible player in human ageing.\n"
24,37,downstream,17q21-q22,49495293,49515020,1,"A receptor that can bind not only |NGF| but other neurotrophins, such as |BDNF|, NGFR mediates neural cell survival and is an important player in development. Results from mice suggest it may be related to brain ageing [337], though if and how it impacts on the human ageing process is not known."
25,119,"downstream,putative",19q13.3-q1,48954860,48961262,1,"An important player in apoptosis, BAX encodes multiple transcripts and has been linked to development, cancer, and age-related changes in apoptosis [600]. Inactivation of BAX in mice extended fertile potential and minimized age-related health problems, including bone and muscle loss, excess fat deposition, alopecia, cataracts, deafness, increased anxiety, and selective attention deficit. It did not extend lifespan [1927]. Changes in apoptotic proteins like BAX could also contribute to ageing-associated atrophy in the skeletal muscle of rats [1639]. It is not known how these processes are related to human ageing, but a role of BAX in human ageing is a possibility."
26,136,putative,4p14,41256881,41268429,1,"UCHL1 has both ligase and hydrolase activities [689], and it may be involved in protein degradation. Results from lower life forms implicate similar stress-response proteins in ageing. In humans, there is evidence linking UCHL1 mutations to Parkinson's disease [687]. Brain ageing and neurodegenerative diseases in humans have also been associated with the progressive accumulation of ubiquitinated protein conjugates, which are pathologically similar to the degeneration found in mice with disrupted UCHL1 [1696]. Nonetheless, it is unclear whether UCHL1 is related to human ageing."
27,138,human_link,19q13.2,44905748,44909395,1,"APOE is involved in lipid metabolism. Mice without APOE show dysregulations in lipid metabolism, having higher plasma cholesterol levels and developing arterial lesions [699], displaying DNA oxidative stress at a hepatic level [3602], and presenting severe atherosclerosis and cutaneous xanthomatosis [2138]. They also have a significantly shorter lifespan than wild-type [2138]. Neurodegeneration has also been reported in APOE-null mice [1699]. \n\n+p Several polymorphisms in the human APOE gene have been associated with diseases, such as increased risk of myocardial infarction [1700] and Alzheimer’s disease [4497]. Polymorphisms in APOE have been linked to human longevity [145]. There are four isoforms of APOE in humans. In Alzheimer’s disease the ApoE2 isoform is protective and the ApoE4 isoform is causative and stimulates amyloid beta production [4497]. ApoE4 also exacerbates tauopathy in mouse models of Alzheimer’s disease and ApoE4 knock-in mice show significantly higher levels of tau in the brain [4498]. Despite its association with age-related disease the ApoE4 isoform is the second most common after the ApoE3 isoform and is the ancestral form of APOE [4499]. Clearly, APOE has an impact on various age-related diseases, such as atherosclerosis and neurodegeneration, but its overall impact on the human ageing process remains to be determined.\n"
28,38,"model,cell",11p15.5,532242,535550,1,"HRAS is a member of the RAS family of oncogenes and probably plays a role in cell growth and differentiation. In roundworms, the RAS pathway has been shown to influence development and ageing in conjunction with |INS|/|IGF1| [1517], and RAS signalling has been associated with brain degeneration in fruit flies [345]. Although HRAS is involved in cancer and cellular senescence [339], its role in human ageing is unknown."
29,36,"model,downstream",3q22.3,138652698,138759359,-1,"PIK3CB is involved in the signal transduction of insulin (|INS|) and insulin-like pathways including the activation of the MAPK pathway [154]. A homologue of PIK3CB, age-1, has been related to ageing in roundworms [1518]. Genotype combinations in the human PIK3CB and |IGF1R| genes have been related to plasma |IGF1| levels and longevity [141], though the elucidation of PIK3CB's role in ageing will require more detailed studies."
30,160,"mammal,model,functional,putative",6p21.3,31815514,31817942,1,"    The HSPA1A protein, also known as hsp72 or hsp70, is a stress-induced chaperone [757]. Results from invertebrates have suggested that heat-shock proteins, such as HSPA1A, are involved in ageing. Overexpression of hsp70, a homologue of HSPA1A, extends lifespan in fruit flies [210]. Induction of HSPA1A after ischemia is diminished in aged rat hearts [908]. Overexpression of HSPA1A in mice with spinocerebellar ataxia type 1 offered protection against this disease, suggesting HSPA1A could protect against neurodegeneration [755]. However, in a more recent study, overexpression of hsp70 in mice was associated with growth retardation, tumor formation, and early death [1978]. Hsp70 basal levels show tissue-specific age-associated variations and are preserved in long-lived mice. Hsp70 levels from long-lived mice are similar to those found in adult WT mice. In adult PAM mice, which normally show accelerated aging, hsp70 levels are similar to those in chronologically old animals [4364]. Whether HSPA1A is related to human ageing remains to be determined."
31,161,"functional,putative",6p21.3,3075514,3078033,1,"HSPA1B is involved in stress response and recognition of abnormal proteins, but also in signalling cascades. Results from invertebrates have suggested that heat-shock proteins, such as hsp70, a homologue of HSPA1B, are involved in ageing [210]. Whether HSPA1B is involved in human ageing is unknown."
32,61,mammal,17q21,43044295,43125483,-1,"BRCA1 is crucial in cellular responses to DNA damage and may also be a transcriptional regulator. It interacts with |WRN| [1825]. Mutations in BRCA1 result in embryonic lethality in mice and humans. Mice hypomorphic for BRCA1 and heterozygous for |TP53| have slower growth rates and display signs of premature ageing starting at about 8 months of age [37]. Loss or haploid loss of CHEK2 also enables mice lacking BRCA1 to avoid embryonic lethality and display signs of premature ageing at about 18 months of age and develop multiple tumours later in life [1838]. In humans, some evidence suggests differences in BRCA1 genotype frequencies between centenarians and controls [416]. BRCA1's role in cancer in humans is undisputed [396], and it is possible it also plays a role in ageing. "
33,11,mammal,19q13.3,45351391,45370587,-1,"The ERCC2 helicase is primarily involved in DNA repair. It may also be involved in transcription because it is a component of the core TFIIH basal transcription factor [546].+p ERCC2-null mice die at embryonic stages [1762]. Mutations in ERCC2 that reduce its activity in mice appear to accelerate ageing and increase cancer incidence. The mutant mice live on average less than a year, display growth retardation, enhanced apoptosis, and start to develop a phenotype resembling premature aging at about 3-4 months of age that becomes increasingly more severe. Combining mutations in ERCC2 with |XPA| ablation results in a much more severe phenotype [14]. Surprisingly, however, combining different mutations in ERCC2 ameliorates age-related phenotypes and developmental delay in mice [1857]. In humans, several pathologies have been associated with mutations in ERCC2 [191], including trichothiodystrophy and Cockayne syndrome which are characterized by progeroid-like features. As such, ERCC2 may play a role in human ageing."
34,121,functional,Xq28,154379237,154381523,1,"EMD is likely involved in nuclear structure and stabilization. Mutations in EMD cause Emery-Dreifuss muscular dystrophy [618]. Some mutations in |LMNA| also cause the same disease. The relation between EMD and |LMNA|, and the functions of EMD in the nuclear lamina [1307], may indicate a role for EMD in ageing, even though at present this is just an unproven hypothesis."
35,110,upstream,Xq12,67544032,67730619,1,"AR is involved in transcriptional regulation and cellular proliferation and differentiation [576]. Disruption of AR in mice results in insulin (|INS|) and leptin (|LEP|) resistance, which suggests that AR may contribute to certain age-related diseases such as type 2 diabetes and cardiovascular disease [1331]. Its exact role in human ageing is unknown."
36,10,mammal,10q22.2,73911104,73917500,1,"PLAU is a protease that converts plasminogen to plasmin. It appears to affect murine ageing: its overexpression in the brain diminishes food consumption and extends longevity probably through a mechanism similar to caloric restriction [13]. It is unclear at present whether PLAU affects human ageing, despite some evidence linking PLAU to age-related neurological diseases [374]."
37,211,upstream,2q33,202206180,202238599,-1,"SUMO1 is a small protein that interacts with several partners and hence is related to many processes, including DNA repair and signal transduction. It may be related to |WRN| [903]. There is no evidence associating SUMO1 with ageing, though because of its many functions it is possible that SUMO1 has some impact on human ageing."
38,74,functional,14q32.33,102080738,102087175,-1,"Also known as Hsp90, HSP90AA1 is a molecular chaperone. Similar proteins have been suggested to impact on the ageing process of model organisms [632]. HSP90AA1 is affected by ageing in rats [909], though no evidence has directly linked HSP90AA1 to human ageing."
39,66,putative,17p12-p11.,16380797,16382745,1,"UBB is involved in the regulation of chromatin structure and stress response, as well as in the degradation of cellular proteins [439]. In lower life forms, such as invertebrates, stress-response proteins similar to UBB have been associated with ageing. UBB has also been associated with neurodegenerative diseases [436]. Although unproven, a role for UBB in ageing and/or age-related diseases is possible."
40,201,downstream,10q21.1,60778454,60794852,1,"An important regulator of the cell cycle, CDK1 also appears to be involved in apoptosis. Age-related alterations to CDK1 have been reported in rats [875], but there is no direct evidence linking CDK1 to human ageing."
41,67,upstream,17p13.3,1829979,1899554,1,"RPA1 is involved in replication, recombination, and DNA repair. Due to its involvement with ageing-related genes, such as |WRN| [441], RPA1 has been hinted as a player in the ageing process. Nonetheless, there is no direct evidence that RPA1 is linked to human ageing."
42,34,"model,putative",13q34,109753837,109786567,-1,"IRS2 and |IRS1| mediate many of the cellular actions of insulin (|INS|). Results from model organisms suggest IRS2 is involved in the |IGF1|/|GH1| axis that appears to influence ageing in model organisms. In Drosophila, loss of chico, an insulin receptor substrate, extends lifespan [188]. IRS2 brain-specific knockout mice were overweight, hyperinsulinemic, glucose intolerant, yet more active and lived up to 18% longer [1919]. In another experiment, however, IRS2 knockout mice were reported to have a shorter median lifespan. Heterozygous animals had normal lifespans [1924]. IRS2 may also be involved in the extended lifespan of other mouse strains [292]. In humans, mutations in IRS2 have been associated with diabetes [1659]. IRS2 likely plays a role in some human age-related pathologies, but its exact impact on the human ageing process is unknown."
43,179,downstream,6q22.33,136557049,136792518,-1,"MAP3K5, also called ASK1, is involved in stress response and apoptosis [999]. Disruption of MAP3K5 in mice attenuates left ventricular remodelling [1723]. It is possible that MAP3K5 is related to age-related changes in stress response witnessed in a number of animal models. MAP3K5 has not been directly linked to human ageing."
44,114,downstream,11q12,61792637,61797242,1,"Involved in DNA processing, FEN1 has been associated with cancer progression [586]. A FEN1 role in ageing is unknown, but due to its interactions with |WRN| [584] and |PCNA| [588], FEN1 might, in theory, be involved in human ageing."
45,180,downstream,Xq13.1,71366239,71466005,1,"Essential in cell cycle progression, TAF1 is also involved in transcription as part of the TFIID transcription factor together with |TBP| [891]. There is no direct evidence linking TAF1 to human ageing, but due to TAF1's importance in cell cycle control and its relation with other proteins previously related to ageing, TAF1 might play some role in human ageing."
46,147,"cell,functional",12p13-p12.,912077,990053,-1,"RAD52 is involved in DNA repair and appears to interact with |WRN| [727]. It has been reported to be an important player in the cellular senescence of yeast [192]. Its role, if any, in mammalian ageing remains elusive."
47,80,functional,17q21-q22,40388521,40417950,-1,"Topoisomerases regulate the topological states of DNA [483]. Though no direct interaction has been reported, TOP2A has been indirectly linked to |WRN| [61] and |ATM| [482]. TOP2A has also been suggested as an important player in neuron proliferation [483]. Because TOP2A has been associated with several DNA metabolism proteins thought to play a role in ageing, it is possible that TOP2A itself is involved in human ageing, though further studies are necessary to confirm this hypothesis."
48,81,functional,3p24,25597905,25664372,-1,"Topoisomerases regulate the topological states of DNA [483]. Though no direct interaction has been reported, TOP2B has been indirectly linked to |WRN| [61] and |ATM| [482]. TOP2B has also been suggested as an important player in neuron proliferation [483]. Because TOP2B has been associated with several DNA metabolism proteins thought to play a role in ageing, it is possible that TOP2B is itself involved in human ageing, though further studies are necessary to confirm this hypothesis."
49,3,mammal,1q21,154962298,154974483,-1,"    SHC1 encodes three splice variants: p46, p52, and p66. In an initial longevity study, mice double-mutants for p66 were shown to live 30% longer though it is not clear whether they age slower [6]. Additionally, the p66 mutants display an increased cognitive performance, lower emotionality and a higher pain threshold, in addition to increased basal levels of BDNF in the hippocampus, as well as decreased levels of oxidative stress markers [3626]. However, in a second study the longevity extension could not be replicated and the authors found that the knockout of Shc1 does not increase median or maximum lifespan in mice [3547]. Although the exact functions of SHC1 remain unknown, it appears to play a role in the regulation of intra-cellular redox levels, signal transduction, and apoptosis [7]. p66 mutant mice have been shown to have reduced oxidative stress and mitochondrial apoptosis. In |TERC| knockout mice, which normally show accelerated aging, inactivation of p66 rescues sterility and weight loss, as well as organ atrophy. However, there is no impact on shortened lifespan or telomere erosion [4354]. p66/SHC1 depletion in mice stimulates brown fat (a key thermogenic tissue) activity, resulting in a higher insulin-dependent glucose uptake and a higher energy expenditure. Additionally, brown adipose tissue cells exhibit increased mitochondrial respiration, increased expression of several mitochondrial and lipid-oxidative enzymes, which may be the cause for the improved metabolism of SHC1-deficient mice [3625]. Studies in humans have so far failed to associate polymorphisms in the SHC1 gene with ageing or longevity [231]. "
50,200,putative,15q24.2,75369379,75451585,-1,"SIN3A is a transcriptional regulator that interacts with |MXI1| to antagonize |MYC| [982]. Neuronal apoptosis has been related to elevated SIN3A levels [1735], though SIN3A expression levels did not increase with age in rats [873]. SIN3A has not been directly related to human ageing."
51,172,upstream,1p32-p31,58780791,58784113,-1,"JUN is an important transcription factor that is also a member of the AP-1 transcriptional complex. Its signalling pathway has been related to ageing in fruit flies [212] and roundworms [60], though a direct role of JUN has not been demonstrated. Results from mice have shown that AP-1's DNA-binding activity decreases with age [837]. JUN-null mice die at embryonic stages [783]. Further research is needed to assess JUN'1 role in human ageing."
52,159,functional,2q33.1,197486584,197499916,-1,"HSPD1 plays a role in stress response in the mitochondria [753]. Heat-shock proteins have been suggested as a player in the ageing of model organisms such as invertebrates. Age-related changes in heat-shock proteins, including HSPD1, have also been reported in rats [1644]. A mutation in the human HSPD1 gene has been associated with spastic paraplegia [1713]. HSPD1's relevance to human ageing remains to be determined."
53,13,"human,mammal,cell",8p12,31033262,31173761,1,"    Werner syndrome (WS), caused by mutations in WRN, is probably the most dramatic segmental progeroid syndrome. Although there are differences between the pathobiology of normal ageing and the phenotype of WS, the age-related changes of WS patients are remarkably similar to those found during normal ageing, only they occur at earlier ages [56]. WRN is one of the strongest candidates for genes influencing human ageing.\n\n    +p WRN-deficient mice display reduced embryonic survival, increased tumour formation, and their fibroblasts show features similar to those found in fibroblasts derived from WS patients such as a premature loss of proliferative capacity, though their ageing process appears unaltered [730]. In late-generation mice without TERC, and hence with short telomeres, WRN mutations result in a phenotype resembling accelerated ageing somewhat reminiscent from WS [1069].\n\n    +p WRN is a helicase and exonuclease involved in many DNA repair and processing pathways [1265]. Genetic variation studies in breast cancer patients, showed that WRN might have an important tumorigenic role [3648]. Human WRN-null mesenchymal stem cells show several features associated with accelerated aging [4332]. These include increased senescence associated markers, activation of the senescence-associated secretory phenotype and an increased DNA damage response. In addition, there is a global loss of H3K9me3 and accompanying changes in heterochromatin architecture. It was shown that WRN associates with heterochromatin proteins SUV39H1 and HP1a and nuclear lamina-heterochromatin anchoring protein LAP2b [4332]. Thus, WRN may play a role in maintaining heterochromatin stability as part of its role in the ageing process. \n"
54,94,upstream,22q13.2,41092610,41180077,1,"EP300 is a transcriptional coactivator that mediates many transcriptional events including DNA repair. It also acts as a histone acetyltransferase to regulate transcription through chromatin structural changes [514]. EP300 activity is attenuated in ageing mice [426]. Because EP300 has been associated with several other proteins that may be involved in ageing, such as |WRN| [511], EP300 might somehow impact on human ageing."
55,122,downstream,17q24-q25,75318076,75405708,-1,"An important player in growth signalling pathways, GRB2's functions are not yet well understood. Analyses of mice with a null mutation in GRB2 suggest that GRB2 is required for embryonic development and malignant transformation [620]. Due to its role as a signal transducer of many pathways, including pathways and genes previously related to ageing such as |INS|/|IGF1| signalling and |SHC1| [1107], it is possible GRB2 plays some role in ageing."
56,195,functional,14q11.2,20455131,20457772,1,APEX1 repairs oxidative DNA damage. Disruption of APEX1 in mice results in embryonic lethality [854]. Heterozygous mice had an elevated spontaneous mutation frequency [1732]. Whether APEX1 is involved in human ageing remains to be established.
57,137,putative,21q21.3,25880550,26170820,-1,"APP has different functions. It is a cell surface receptor, interacts with many other proteins, and may regulate neurite growth. Clearly, APP is an important player in Alzheimer's disease [695], though it is not known whether it is related to other aspects of ageing."
58,128,functional,8q24.3,144511284,144517826,-1,"A helicase that is responsibility for a majority of the cases of Rothmund-Thomson syndrome [651][4490], RECQL4 belongs to the same family of |WRN| and |BLM|. Though Rothmund-Thomson syndrome does not resemble accelerated ageing like Werner's syndrome does [444], it is reasonable that RECQL4 might be involved in human ageing. RECQL4 participates in multiple DNA pathways [4490] and cells from patients carrying RECQL4 mutations can exhibit elevated stress-induced premature senescence [4491]. RECQL4-deficient mice die at embryonic stages [1692]."
59,62,upstream,19p13,9835207,9849689,1,"Important for the regulation of mitosis and cell cycle progression, PIN1 is critical for |TP53| function [424]. Some results indicate that PIN1 plays a role in protecting against neurodegenerative diseases [421], and PIN1 regulates |APP| processing, suggesting a possible role in Alzheimer's disease [1621]. Although PIN1 has not been directly related to ageing, it is a promising avenue of research, at least in relation to neurodegeneration."
60,84,"cell,functional",15q15.1,40695129,40732158,1,"Involved in DNA unwinding and repair [489], RAD51 has been reported to be an important player in the cellular senescence of yeast [192]. Disruption of RAD51 in mice results in embryonic lethality [488]. Its role in mammalian ageing remains unknown."
61,52,downstream,19p13.2,11377204,11384341,-1,"This gene encodes the erythropoietin receptor which is a member of the cytokine receptor family. Upon erythropoietin binding, this receptor activates Jak2 tyrosine kinase which activates different intracellular pathways including: Ras/MAP kinase, phosphatidylinositol 3-kinase and STAT transcription factors. The stimulated erythropoietin receptor appears to have a role in erythroid cell survival. Defects in the erythropoietin receptor may produce erythroleukemia and familial erythrocytosis. Dysregulation of this gene may affect the growth of certain tumors. Alternate splicing results in multiple transcript variants.[provided by RefSeq, May 2010]"
62,57,downstream,16q24.1,81779258,81962693,1,"PLCG2 catalyzes the hydrolysis of phospholipids and is crucial in intracellular signalling [398]. Clearly, PLCG2 is affected by ageing [952], though it is unclear whether PLCG2 influences human ageing."
63,104,functional,2q21,127257290,127294176,-1,"ERCC3 is a helicase and a component of the TFIIH basal transcription factor [544]. Mutations in ERCC3 cause Xeroderma Pigmentosum group B [547]. Due to its role in DNA repair in association with the other ERCC proteins, some of which directly related to ageing in mammals, it is possible ERCC3 plays a role in human ageing."
64,109,functional,13q33,102845841,102876001,1,"Due to its role in DNA repair in association with the other ERCC proteins, it is possible ERCC5 plays a role in human ageing. Mutations in human ERCC5 cause Xeroderma pigmentosum group G [570], but have also been associated with features of Cockayne syndrome [569]."
