"id","gene_symbol","gene_id","species_name","pubmed","description","entrez_id","gene_name","function","ensembl","alias"
195,"Gdh","","Drosophila melanogaster","26378219
","Wild type flies and flies containing mutant Gdh (71% activity compared to the wild type) were subjected to dietary restriction. Both wild type and mutant flies showed a significant increase in lifespan under dietary restriction compared to normal conditions. However, flies with mutant Gdh had a significantly longer lifespan (more than 14 days) than the wild type, demonstrating that decreased Gdh activity enhances the effects of dietary restriction. ",42832,"Glutamate dehydrogenase","","","CG5320 DHE3 Dmel\CG5320 gdh GDH GLU-D Glud GLUD GLUD pre-mRNA"
14,"MSN2","YMR037C","Saccharomyces cerevisiae","11000115,18225956,14741356","Deletion of MSN2 and |MSN4| extends replicative lifespan [2559]. Deletion of MSN2 and |MSN4| does not significantly decrease chronological lifespan under ad libitum, but attenuates chronological lifespan extension by water starvation and 0.5% glucose restriction [2556]. msn2 msn4 has no effect on replicative lifespan in PSY316, and does not prevent lifespan extension by DR [2260].",855053,"Multicopy suppressor of SNF1 mutation 2","Msn2p; Transcriptional activator related to Msn4p; activated in stress conditions, which results in translocation from the cytoplasm to the nucleus; binds DNA at stress response elements of responsive genes, inducing gene expression [Source:SGD;Acc:S000004640] [Ensembl]","YMR037C",""
15,"MSN4","YKL062W","Saccharomyces cerevisiae","11000115,18225956,14741356","Deletion of |MSN2| and MSN4 extends replicative lifespan [2559]. Deletion of |MSN2| and MSN4 does not significantly decrease chronological lifespan under ad libitum, but attenuates chronological lifespan extension by water starvation and 0.5% glucose restriction [2556]. msn2 msn4 has no effect on replicative lifespan in PSY316, and does not prevent lifespan extension by DR [2260].",853803,"Multicopy suppressor of SNF1 mutation 4","Msn4p; Transcriptional activator related to Msn2p; activated in stress conditions, which results in translocation from the cytoplasm to the nucleus; binds DNA at stress response elements of responsive genes, inducing gene expression [Source:SGD;Acc:S000001545] [Ensembl]","YKL062W",""
16,"NDE1","YMR145C","Saccharomyces cerevisiae","14724176,16436509","Overexpression of NDE1 and |NDE2| increases intracellular NAD/NADH ratio by lowering NADH concentration and increases replicative lifespan by 20-25%. This lifespan extension is non-additive with 0.5% glucose restriction [2329]. Deletion of NDE1 extends chronological lifespan [2330].",855176,"NADH Dehydrogenase, External 1","Nde1p; Mitochondrial external NADH dehydrogenase, a type II NAD(P)H:quinone oxidoreductase that catalyzes the oxidation of cytosolic NADH; Nde1p and Nde2p provide cytosolic NADH to the mitochondrial respiratory chain [Source:SGD;Acc:S000004753] [Ensembl]","YMR145C","NDH1"
17,"NDE2","YDL085W","Saccharomyces cerevisiae","14724176","Overexpression of |NDE1| and NDE2 increases intracellular NAD/NADH ratio by lowering NADH concentration and increases replicative lifespan by 20-25%. This lifespan extension is non-additive with 0.5% glucose restriction [2329].",851474,"NADH Dehydrogenase, External 2","Nde2p; Mitochondrial external NADH dehydrogenase, catalyzes the oxidation of cytosolic NADH; Nde1p and Nde2p are involved in providing the cytosolic NADH to the mitochondrial respiratory chain [Source:SGD;Acc:S000002243] [Ensembl]","YDL085W","NDH2"
18,"MDH1","","Saccharomyces cerevisiae","18381895","Overexpression of MDH1 extends replicative lifespan by 25% and does not synergize with 0.5% glucose restriction [2511].",853777,"Malate DeHydrogenase 1","Mdh1p; Mitochondrial malate dehydrogenase, catalyzes interconversion of malate and oxaloacetate; involved in the tricarboxylic acid (TCA) cycle; phosphorylated [Source:SGD;Acc:S000001568] [Ensembl]","YKL085W",""
19,"AAT1","YKL106W","Saccharomyces cerevisiae","18381895","Overexpression of AAT1 extends replicative lifespan by 25% and does not synergize with 0.5% glucose restriction [2511].",853755,"Aspartate AminoTransferase 1","Aat1p; Mitochondrial aspartate aminotransferase, catalyzes the conversion of oxaloacetate to aspartate in aspartate and asparagine biosynthesis [Source:SGD;Acc:S000001589] [Ensembl]","YKL106W",""
20,"GUT2","YIL155C","Saccharomyces cerevisiae","18381895","Overexpression of GUT2 extends replicative lifespan by 25% and does not synergize with 0.5% glucose restriction [2511].",854651,"Glycerol UTilization 2","Gut2p; Mitochondrial glycerol-3-phosphate dehydrogenase; expression is repressed by both glucose and cAMP and derepressed by non-fermentable carbon sources in a Snf1p, Rsf1p, Hap2/3/4/5 complex dependent manner [Source:SGD;Acc:S000001417] [Ensembl]","YIL155C",""
21,"HXK2","YGL253W","Saccharomyces cerevisiae","11000115,12124627","Deletion of HXK2 extends mean and maximum replicative lifespan by about 53% and 33%, respectively. Limiting glucose availability by mutating HXK2 significantly extends replicative lifespan and provides a genetic model of DR [2260]. HXK2 mutants have a transcriptional profile that significantly resembles DR cells [2274].",852639,"HeXoKinase 2","Hxk2p; Hexokinase isoenzyme 2 that catalyzes phosphorylation of glucose in the cytosol; predominant hexokinase during growth on glucose; functions in the nucleus to repress expression of HXK1 and GLK1 and to induce expression of its own gene [Source:SGD;Acc:S000003222] [Ensembl]","YGL253W","HEX1 HKB SCI2"
22,"GPA2","YER020W","Saccharomyces cerevisiae","11000115","Deletion of GPA2 increases mean and maximum replicative lifespan by 40% and 26%, respectively. Deletion of GPA2 extends replicative lifespan by reducing cAMP-PKA activity and provides a genetic model for DR [2260].",856741,"G Protein Alpha subunit 2","Gpa2p; Nucleotide binding alpha subunit of the heterotrimeric G protein that interacts with the receptor Gpr1p, has signaling role in response to nutrients; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery [Source:SGD;Acc:S000000822] [Ensembl]","YER020W","SSP101"
23,"GPR1","YDL035C","Saccharomyces cerevisiae","11000115","Deletion of GRP1 increases mean and maximum replicative lifespan by 41% and 26%, respectively. GRP1 deletion mutants have also longer chronological lifespan. Deletion of GPR1 extends replicative lifespan by reducing cAMP-PKA activity and provides a genetic model for DR [2260].",851527,"G-Protein coupled Receptor 1","Gpr1p; Plasma membrane G protein coupled receptor (GPCR) that interacts with the heterotrimeric G protein alpha subunit, Gpa2p, and with Plc1p; sensor that integrates nutritional signals with the modulation of cell fate via PKA and cAMP synthesis [Source:SGD;Acc:S000002193] [Ensembl]","YDL035C",""
24,"CYR1","YJL005W","Saccharomyces cerevisiae","11000115","The CDC35-1 allele of the adenylate cyclase CYR1 confers a 75% extension of replicative. The CYR1 mutation is assumed to act as genetic DR mimetic [2260].",853452,"CYclic AMP Requirement 1","Cyr1p; Adenylate cyclase, required for cAMP production and cAMP-dependent protein kinase signaling; the cAMP pathway controls a variety of cellular processes, including metabolism, cell cycle, stress response, stationary phase, and sporulation [Source:SGD;Acc:S000003542] [Ensembl]","YJL005W","CDC35 FIL1 HSR1 SRA4 TSM0185"
25,"GIS1","YDR096W","Saccharomyces cerevisiae","19030232,18225956","Deletion of GIS1 increases replicative lifespan by 25% in the alpha strain [2503]and causes a major, although not complete, reversion of chronological lifespan extension by 0.5% glucose restriction [2556].",851670,"GIg1-2 Suppressor 1","Gis1p; JmjC domain-containing histone demethylase and transcription factor; involved in expression of genes during nutrient limitation; negatively regulates DPP1 and PHR1; activity is modulated by limited proteasome-mediated proteolysis; has a JmjC and a J /.../main in the N-terminal region that interact, promoting Gis1p stability and proper transcriptional activity; contains transactivating domains TAD1 and TAD2 downstream of the Jmj domains and a C-terminal DNA binding domain [Source:SGD;Acc:S000002503] [Ensembl]; JmjC domain-containing histone demethylase and transcription factor; involved in expression of genes during nutrient limitation; negatively regulates DPP1 and PHR1; activity is modulated by limited proteasome-mediated proteolysis; has a JmjC and a JmjN domain in the N-terminal region that interact, promoting Gis1p stability and proper transcriptional activity; contains transactivating domains TAD1 and TAD2 downstream of the Jmj domains and a C-terminal DNA binding domain [SGD]","YDR096W",""
26,"RIM15","YFL033C","Saccharomyces cerevisiae","11292860,18225956,21076178","RIM15 deletion results in 50% reduction of maximal chronological lifespan [2346] and consistently decreases chronological lifespan under ad libitum [2591]. Rim15 is required for chronological lifespan extension caused by deficiency in |TOR1| or |SCH9|, as well as by 0.5% glucose restriction, but not by water starvation [2556].",850511,"Regulator of IME2 15","Rim15p; Glucose-repressible protein kinase involved in signal transduction during cell proliferation in response to nutrients, specifically the establishment of stationary phase; identified as a regulator of IME2; substrate of Pho80p-Pho85p kinase [Source:SGD;Acc:S000001861] [Ensembl]","YFL033C","TAK1"
27,"HST1","YOL068C","Saccharomyces cerevisiae","16051752,17129213","Deletion of HST1 blocks the residual replicative lifespan extension by hxk2 mutant in a sir2;fob1;hst2 triple mutant background [2309]. However, DR can increases the replicative lifespan to a similar extent in sir2;fob1;hst1;hst2 quadruple mutant cells as in sir2;fob1 double mutant cells under 0.5, 0.05 and 0.005% glucose conditions and even by hxk2 deletion mutant [2558].",854086,"Homolog of SIR Two (SIR2) 1","Hst1p; NAD(+)-dependent histone deacetylase; essential subunit of the Sum1p/Rfm1p/Hst1p complex required for ORC-dependent silencing and mitotic repression; non-essential subunit of the Set3C deacetylase complex; involved in telomere maintenance [Source:SGD;Acc:S000005429] [Ensembl]","YOL068C",""
31,"PCK1","YKR097W","Saccharomyces cerevisiae","19303850","Knockout of PCK1 dramatically reduces chronological lifespan in both water (extreme DR) and glucose-containing medium. pck-1-K514Q mutation which abrogates enzymatic activity of Pck1, just like |SIR2| deletion, extends chronological lifespan in water. Deletion of |SIR2| does not alter the lifespan of PCK1 deletion mutant, pck1-K514R, and pck1-K514Q mutants [2526].",853972,"Phosphoenolpyruvate CarboxyKinase 1","Pck1p; Phosphoenolpyruvate carboxykinase, key enzyme in gluconeogenesis, catalyzes early reaction in carbohydrate biosynthesis, glucose represses transcription and accelerates mRNA degradation, regulated by Mcm1p and Cat8p, located in the cytosol [Source:SGD;Acc:S000001805] [Ensembl]","YKR097W","JPM2 PPC1"
32,"RPL31A","YDL075W","Saccharomyces cerevisiae","16293764,18423200","Deletion of RPL31A increases mean replicative lifespan by 45% [1570]. Deletion of RPL31A extends replicative lifespan and is not further extended by 0.05% glucose restriction [2505].",851484,"Ribosomal Protein of the Large subunit 31A","Rpl31ap; Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl31Bp and has similarity to rat L31 ribosomal protein; associates with the karyopherin Sxm1p; loss of both Rpl31p and Rpl39p confers lethality [Source:SGD;Acc:S000002233] [Ensembl]","YDL075W","RPL34"
33,"GSH1","YJL101C","Saccharomyces cerevisiae","18840459","Deletion of GSH1 confers deficiency in glutathione biosynthesis and further increases chronological lifespan under 0.5% glucose restriction, but does not extend chronological lifespan under 2% glucose. Therefore, GSH1 has a positive interaction with DR [2560].",853344,"glutathione (GSH) 1","Gsh1p; Gamma glutamylcysteine synthetase catalyzes the first step in glutathione (GSH) biosynthesis; expression induced by oxidants, cadmium, and mercury [Source:SGD;Acc:S000003637] [Ensembl]","YJL101C",""
34,"YPT7","YML001W","Saccharomyces cerevisiae","18340043,18690010","YPT7 deletion decreases replicative lifespan by 15% in the alpha strain [2504]. Deletion of YPT7 cancels out replicative lifespan extension of 0.5% glucose restriction and results under DR also into a shorter replicative lifespan than under ad libitum [2514].",855012,"Yeast Protein Two 7","Ypt7p; Rab family GTPase; GTP-binding protein of the rab family; required for homotypic fusion event in vacuole inheritance, for endosome-endosome fusion, similar to mammalian Rab7 [Source:SGD;Acc:S000004460] [Ensembl]","YML001W","AST4 VAM4"
35,"NYV1","YLR093C","Saccharomyces cerevisiae","18690010","Deletion of NYV1 cancels out replicative lifespan extension of 0.5% glucose restriction and results under DR also into a shorter replicative lifespan than under ad libitum. Thus, NYV1 deletion blocks DR-lifespan prolongation [2514].",850782,"New Yeast V-SNARE 1","Nyv1p; v-SNARE component of the vacuolar SNARE complex involved in vesicle fusion; inhibits ATP-dependent Ca(2+) transport activity of Pmc1p in the vacuolar membrane [Source:SGD;Acc:S000004083] [Ensembl]","YLR093C","MAM2"
36,"ERG5","YMR015C","Saccharomyces cerevisiae","18340043,18690010,21447998","Deletion of ERG5 decreases replicative lifespan by 35% in the a strain [2504], but increases mean chronological lifespan by 26 - 116% (26, 40, 43, 62, 116) in diploid cells [2593]. Deletion of ERG5 cancels out the replicative lifespan extension of 0.5% glucose restriction [2514].",855029,"ERGosterol biosynthesis 5","Erg5p; C-22 sterol desaturase, a cytochrome P450 enzyme that catalyzes the formation of the C-22(23) double bond in the sterol side chain in ergosterol biosynthesis; may be a target of azole antifungal drugs [Source:SGD;Acc:S000004617] [Ensembl]","YMR015C","CYP61"
37,"ERG6","YML008C","Saccharomyces cerevisiae","18690010","Deletion of ERG6 cancels out replicative lifespan extension of 0.5% glucose DR and results under DR also into a shorter replicative lifespan than under ad libitum [2514].  ",855003,"ERGosterol biosynthesis 6","Erg6p; Delta(24)-sterol C-methyltransferase, converts zymosterol to fecosterol in the ergosterol biosynthetic pathway by methylating position C-24; localized to both lipid particles and mitochondrial outer membrane [Source:SGD;Acc:S000004467] [Ensembl]","YML008C","ISE1 LIS1 SED6 VID1"
38,"ERG3","YLR056W","Saccharomyces cerevisiae","18690010","Deletion of ERG3 decreases replicative lifespan under ad libitum, cancels out replicative lifespan extension of 0.5% glucose DR and results under DR also into a shorter replicative lifespan than under ad lib [2514].",850745,"ERGosterol biosynthesis","Erg3p; C-5 sterol desaturase, catalyzes the introduction of a C-5(6) double bond into episterol, a precursor in ergosterol biosynthesis; mutants are viable, but cannot grow on non-fermentable carbon sources [Source:SGD;Acc:S000004046] [Ensembl]; C-5 sterol desaturase, glycoprotein that catalyzes the introduction of a C-5(6) double bond into episterol, a precursor in ergosterol biosynthesis; mutants are viable, but cannot grow on non-fermentable carbon sources; substrate of the HRD ubiquitin ligase [SGD]","YLR056W","PSO6 SYR1"
39,"SUR4","YLR372W","Saccharomyces cerevisiae","18690010","Deletion of SUR4 cancels out replicative lifespan extension of 0.5% glucose DR [2514].",851087,"SUppressor of Rvs161 and rvs167 mutations 4","Sur4p; Elongase, involved in fatty acid and sphingolipid biosynthesis; synthesizes very long chain 20-26-carbon fatty acids from C18-CoA primers; involved in regulation of sphingolipid biosynthesis [Source:SGD;Acc:S000004364] [Ensembl]","YLR372W","APA1 ELO3 SRE1 VBM1"
40,"LCB4","YOR171C","Saccharomyces cerevisiae","18690010","Deletion of LCB4 increases replicative lifespan and cancels out replicative lifespan extension of 0.5% glucose DR [2514]. ",854342,"Long-Chain Base 4","Lcb4p; Sphingoid long-chain base kinase, responsible for synthesis of long-chain base phosphates, which function as signaling molecules, regulates synthesis of ceramide from exogenous long-chain bases, localizes to the Golgi and late endosomes [Source:SGD;Acc:S000005697] [Ensembl]","YOR171C",""
41,"ATG15","YCR068W","Saccharomyces cerevisiae","18690010","Deletion of ATG15 does not affect the lifespan significantly under ad lib, while DR shortens replicative lifespan of ATG15 deletion mutant by 28% [2514].",850432,"AuTophaGy related 15","Atg15p; Lipase required for intravacuolar lysis of autophagic bodies and Cvt bodies; targeted to intravacuolar vesicles during autophagy via the multivesicular body (MVB) pathway [Source:SGD;Acc:S000000664] [Ensembl]","YCR068W","AUT5 CVT17"
43,"TCO89","YPL180W","Saccharomyces cerevisiae","18690010,21641548","TCO89 deletion increases chronological lifespan, increases mitochondrial oxygen consumption, but decreases mitochondrial and cellular ROS in early stationary phase [2618]. Deletion of TCO89 cancels out replicative lifespan extension by moderate DR [2514].",855922,"Tor Complex One","Tco89p; Subunit of TORC1 (Tor1p or Tor2p-Kog1p-Lst8p-Tco89p), a complex that regulates growth in response to nutrient availability; cooperates with Ssd1p in the maintenance of cellular integrity; deletion strains are hypersensitive to rapamycin [Source:SGD;Acc:S000006101] [Ensembl]","YPL180W",""
44,"HSP12","YFL014W","Saccharomyces cerevisiae","22848679","HSP12 deletion abolishes the replicative lifespan extending effect of moderate DR [3447].",850532,"Heat Shock Protein 12","Hsp12p; Plasma membrane protein involved in maintaining membrane organization in stress conditions; induced by heat shock, oxidative stress, osmostress, stationary phase, glucose depletion, oleate and alcohol; regulated by HOG and Ras-Pka pathways [Source:SGD;Acc:S000001880] [Ensembl]","YFL014W","GLP1 HOR5"
45,"NFU1","YKL040C","Saccharomyces cerevisiae","20421943","NFU1 mutation slightly shortens the chronological lifespan under ad libitum and the chronological lifespan of NFU1 mutants is not extended by 0.5% glucose DR [2501].",853826,"NifU-like protein 1","Mitochondrial matrix protein, involved in iron-sulfur complex biogenesis.; Nfu1p; Protein involved in iron metabolism in mitochondria; similar to NifU, which is a protein required for the maturation of the Fe/S clusters of nitrogenase in nitrogen-fixing bacteria [Source:SGD;Acc:S000001523] [Ensembl]","YKL040C","NUB1"
46,"FET3","YMR058W","Saccharomyces cerevisiae","20421943,18679056","FET3 mutation slightly shortens chronological lifespan under ad libitum. Its chronological lifespan is not extended by 0.5% glucose or amino-acid DR [2501]. FET3 is one of several iron related genes that are up-regulated in response to increasing strength of glucose DR [2561].",855080,"FErrous Transport 3","Multicooper oxidase, that along with iron permiase (Ftr1), compromises a high affinity iron uptake system; Fet3p; Ferro-O2-oxidoreductase required for high-affinity iron uptake and involved in mediating resistance to copper ion toxicity, belongs to class of integral membrane multicopper oxidases [Source:SGD;Acc:S000004662] [Ensembl]","YMR058W",""
47,"ATG16","YMR159C","Saccharomyces cerevisiae","20421943","Under ad libitum atg16 mutation shortens chronological, but not replicative lifespan. 0.5% glucose DR extends chronological lifespan of atg16 mutants, but amino-acid DR does not extend the short chronological lifespan of atg16 mutants (similar to several other autophagy mutants). |ADE4| deletion in atg16 mutants results only in a partial extension of chronological lifespan by 0.5% glucose DR. The long chronological lifespan of |tor1| mutants requires ATG16 [2501].",855194,"AuTophaGy related 16","Atg16p; Conserved protein that interacts with Atg12p-Atg5p conjugates to form Atg12p-Atg5p-Atg16p multimers, which localize to the pre-autophagosomal structure and are required for autophagy [Source:SGD;Acc:S000004769] [Ensembl]","YMR159C","APG15 APG16 CVT11 SAP18"
48,"ADE4","YMR300C","Saccharomyces cerevisiae","20421943","ade4 mutation extends chronological lifespan, but not replicative lifespan, and is non-additive with 0.5% glucose or amino-acid DR on chronological lifespan extension. ADE4 deletion in |atg16| mutants results only in a partial extension of the chronological lifespan by 0.5% glucose DR [2501].",855346,"ADEnine requiring 4","Ade4p; Phosphoribosylpyrophosphate amidotransferase (PRPPAT; amidophosphoribosyltransferase), catalyzes first step of the 'de novo' purine nucleotide biosynthetic pathway [Source:SGD;Acc:S000004915] [Ensembl]","YMR300C",""
49,"ATG2","YNL242W","Saccharomyces cerevisiae","20421943","ATG2 deletion prevents chronological lifespan extension induced by amino-acid DR [2501].",855479,"AuTophaGy related 2","Atg2p; Peripheral membrane protein required for vesicle formation during autophagy, pexophagy, and the cytoplasm-to-vaucole targeting (Cvt) pathway; involved in Atg9p cycling between the phagophore assembly site and mitochondria [Source:SGD;Acc:S000005186] [Ensembl]","YNL242W","APG2 AUT8 SPO72"
50,"VPS30","YPL120W","Saccharomyces cerevisiae","20421943","VPS30 deletion prevents chronological lifespan extension induced by amino-acid DR [2501].",855983,"Vacuolar Protein Sorting 30","Vps30p; Subunit of phosphatidylinositol (PtdIns) 3-kinase complexes I and II; Complex I is essential in autophagy and Complex II is required for vacuolar protein sorting; ortholog of the higher eukaryotic gene Beclin 1 [Source:SGD;Acc:S000006041] [Ensembl]","YPL120W","APG6 ATG6 VPT30"
51,"GIT3","SPCC1753.02c","Schizosaccharomyces pombe","19266076","GIT3 encodes a G protein-coupled receptor for glucose. Git3 deletion increases chronological lifespan in conditions where glucose consumption is not affected. Constitutive activation of Galpha subunit acting downstream of Git3 accelerates aging and inhibits effect of DR [2562].",2538770,"G-protein coupled receptor Git3",NULL,NULL,""
