entrez_id,gene_symbol,gene_name,description,chr_loc,chr_start,chr_end,orientation,accession,unigene,omim,ensembl,hprd,species,alias,homologene
604,BCL6,B-cell CLL/lymphoma 6,"The protein encoded by this gene is a zinc finger transcription factor and contains an N-terminal POZ domain. This protein acts as a sequence-specific repressor of transcription, and has been shown to modulate the transcription of STAT-dependent IL-4 responses of B cells. This protein can interact with a variety of POZ-containing proteins that function as transcription corepressors. This gene is found to be frequently translocated and hypermutated in diffuse large-cell lymphoma (DLCL), and may be involved in the pathogenesis of DLCL. Alternatively spliced transcript variants encoding different protein isoforms have been found for this gene. [provided by RefSeq, Aug 2015]",3q27.3,187721376,187745724,-1,NG_007149,478588,109565,ENSG00000113916,,human,BCL5 LAZ3 BCL6A ZNF51 ZBTB27,7640
640,BLK,"BLK proto-oncogene, Src family tyrosine kinase","This gene encodes a nonreceptor tyrosine-kinase of the src family of proto-oncogenes that are typically involved in cell proliferation and differentiation. The protein has a role in B-cell receptor signaling and B-cell development. The protein also stimulates insulin synthesis and secretion in response to glucose and enhances the expression of several pancreatic beta-cell transcription factors. [provided by RefSeq, Aug 2010]",8p23.1,11493990,11564598,1,NG_023543,146591,191305,ENSG00000136573,,human,MODY11,1297
644,BLVRA,biliverdin reductase A,"The protein encoded by this gene belongs to the biliverdin reductase family, members of which catalyze the conversion of biliverdin to bilirubin in the presence of NADPH or NADH. Mutations in this gene are associated with hyperbiliverdinemia. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Dec 2011]",7p13,43758152,43807341,1,NG_031876,488143,109750,ENSG00000106605,,human,BVR BLVR BVRA,572
648,BMI1,"BMI1 proto-oncogene, polycomb ring finger","This gene encodes a ring finger protein that is major component of the polycomb group complex 1 (PRC1). This complex functions through chromatin remodeling as an essential epigenetic repressor of multiple regulatory genes involved in embryonic development and self-renewal in somatic stem cells. This protein also plays a central role in DNA damage repair. This gene is an oncogene and aberrant expression is associated with numerous cancers and is associated with resistance to certain chemotherapies. A pseudogene of this gene is found on chromosome X. Read-through transcription also exists between this gene and the upstream COMM domain containing 3 (COMMD3) gene. [provided by RefSeq, Sep 2015]",10p12.2,22321209,22331484,1,,380403,164831,ENSG00000168283,,human,PCGF4 RNF51 FLVI2/BMI1 flvi-2/bmi-1,
672,BRCA1,"BRCA1, DNA repair associated","This gene encodes a nuclear phosphoprotein that plays a role in maintaining genomic stability, and it also acts as a tumor suppressor. The encoded protein combines with other tumor suppressors, DNA damage sensors, and signal transducers to form a large multi-subunit protein complex known as the BRCA1-associated genome surveillance complex (BASC). This gene product associates with RNA polymerase II, and through the C-terminal domain, also interacts with histone deacetylase complexes. This protein thus plays a role in transcription, DNA repair of double-stranded breaks, and recombination. Mutations in this gene are responsible for approximately 40% of inherited breast cancers and more than 80% of inherited breast and ovarian cancers. Alternative splicing plays a role in modulating the subcellular localization and physiological function of this gene. Many alternatively spliced transcript variants, some of which are disease-associated mutations, have been described for this gene, but the full-length natures of only some of these variants has been described. A related pseudogene, which is also located on chromosome 17, has been identified. [provided by RefSeq, May 2009]",17q21.31,43044294,43125482,-1,NG_005905,194143,113705,ENSG00000012048,,human,IRIS PSCP BRCAI BRCC1 FANCS PNCA4 RNF53 BROVCA1 PPP1R53,5276
673,BRAF,"B-Raf proto-oncogene, serine/threonine kinase","This gene encodes a protein belonging to the raf/mil family of serine/threonine protein kinases. This protein plays a role in regulating the MAP kinase/ERKs signaling pathway, which affects cell division, differentiation, and secretion. Mutations in this gene are associated with cardiofaciocutaneous syndrome, a disease characterized by heart defects, mental retardation and a distinctive facial appearance. Mutations in this gene have also been associated with various cancers, including non-Hodgkin lymphoma, colorectal cancer, malignant melanoma, thyroid carcinoma, non-small cell lung carcinoma, and adenocarcinoma of lung. A pseudogene, which is located on chromosome X, has been identified for this gene. [provided by RefSeq, Jul 2008]",7q34,140719330,140924763,-1,NG_007873,550061,164757,ENSG00000157764,,human,NS7 B-raf BRAF1 RAFB1 B-RAF1,3197
857,CAV1,caveolin 1,"The scaffolding protein encoded by this gene is the main component of the caveolae plasma membranes found in most cell types. The protein links integrin subunits to the tyrosine kinase FYN, an initiating step in coupling integrins to the Ras-ERK pathway and promoting cell cycle progression. The gene is a tumor suppressor gene candidate and a negative regulator of the Ras-p42/44 mitogen-activated kinase cascade. Caveolin 1 and caveolin 2 are located next to each other on chromosome 7 and express colocalizing proteins that form a stable hetero-oligomeric complex. Mutations in this gene have been associated with Berardinelli-Seip congenital lipodystrophy. Alternatively spliced transcripts encode alpha and beta isoforms of caveolin 1.[provided by RefSeq, Mar 2010]",7q31.2,116524784,116561184,1,NG_012051,74034,601047,ENSG00000105974,,human,CGL3 PPH3 BSCL3 LCCNS VIP21 MSTP085,1330
861,RUNX1,runt related transcription factor 1,"Core binding factor (CBF) is a heterodimeric transcription factor that binds to the core element of many enhancers and promoters. The protein encoded by this gene represents the alpha subunit of CBF and is thought to be involved in the development of normal hematopoiesis. Chromosomal translocations involving this gene are well-documented and have been associated with several types of leukemia. Three transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]",21q22.12,34787800,35049333,-1,NG_011402,149261,151385,ENSG00000159216,,human,AML1 CBFA2 EVI-1 AMLCR1 PEBP2aB CBF2alpha AML1-EVI-1 PEBP2alpha,1331
983,CDK1,cyclin dependent kinase 1,"The protein encoded by this gene is a member of the Ser/Thr protein kinase family. This protein is a catalytic subunit of the highly conserved protein kinase complex known as M-phase promoting factor (MPF), which is essential for G1/S and G2/M phase transitions of eukaryotic cell cycle. Mitotic cyclins stably associate with this protein and function as regulatory subunits. The kinase activity of this protein is controlled by cyclin accumulation and destruction through the cell cycle. The phosphorylation and dephosphorylation of this protein also play important regulatory roles in cell cycle control. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Mar 2009]",10q21.2,60778330,60794851,1,NG_029877,732435,116940,ENSG00000170312,,human,CDC2 CDC28A P34CDC2,68203
1019,CDK4,cyclin dependent kinase 4,"The protein encoded by this gene is a member of the Ser/Thr protein kinase family. This protein is highly similar to the gene products of S. cerevisiae cdc28 and S. pombe cdc2. It is a catalytic subunit of the protein kinase complex that is important for cell cycle G1 phase progression. The activity of this kinase is restricted to the G1-S phase, which is controlled by the regulatory subunits D-type cyclins and CDK inhibitor p16(INK4a). This kinase was shown to be responsible for the phosphorylation of retinoblastoma gene product (Rb). Mutations in this gene as well as in its related proteins including D-type cyclins, p16(INK4a) and Rb were all found to be associated with tumorigenesis of a variety of cancers. Multiple polyadenylation sites of this gene have been reported. [provided by RefSeq, Jul 2008]",12q14.1,57747726,57752446,-1,NG_007484,95577,123829,ENSG00000135446,,human,CMM3 PSK-J3,55429
1021,CDK6,cyclin dependent kinase 6,"The protein encoded by this gene is a member of the cyclin-dependent protein kinase (CDK) family. CDK family members are highly similar to the gene products of Saccharomyces cerevisiae cdc28, and Schizosaccharomyces pombe cdc2, and are known to be important regulators of cell cycle progression. This kinase is a catalytic subunit of the protein kinase complex that is important for cell cycle G1 phase progression and G1/S transition. The activity of this kinase first appears in mid-G1 phase, which is controlled by the regulatory subunits including D-type cyclins and members of INK4 family of CDK inhibitors. This kinase, as well as CDK4, has been shown to phosphorylate, and thus regulate the activity of, tumor suppressor protein Rb. Expression of this gene is up-regulated in some types of cancer. Multiple alternatively spliced variants, encoding the same protein, have been identified. [provided by RefSeq, Nov 2009]",7q21.2,92604920,92836626,-1,NG_015888,119882,603368,ENSG00000105810,,human,MCPH12 PLSTIRE,963
1026,CDKN1A,cyclin dependent kinase inhibitor 1A,"This gene encodes a potent cyclin-dependent kinase inhibitor. The encoded protein binds to and inhibits the activity of cyclin-cyclin-dependent kinase2 or -cyclin-dependent kinase4 complexes, and thus functions as a regulator of cell cycle progression at G1. The expression of this gene is tightly controlled by the tumor suppressor protein p53, through which this protein mediates the p53-dependent cell cycle G1 phase arrest in response to a variety of stress stimuli. This protein can interact with proliferating cell nuclear antigen, a DNA polymerase accessory factor, and plays a regulatory role in S phase DNA replication and DNA damage repair. This protein was reported to be specifically cleaved by CASP3-like caspases, which thus leads to a dramatic activation of cyclin-dependent kinase2, and may be instrumental in the execution of apoptosis following caspase activation. Mice that lack this gene have the ability to regenerate damaged or missing tissue. Multiple alternatively spliced variants have been found for this gene. [provided by RefSeq, Sep 2015]",6p21.2,36676459,36687338,1,NG_009364,370771,116899,ENSG00000124762,,human,P21 CIP1 SDI1 WAF1 CAP20 CDKN1 MDA-6 p21CIP1,333
1027,CDKN1B,cyclin dependent kinase inhibitor 1B,"This gene encodes a cyclin-dependent kinase inhibitor, which shares a limited similarity with CDK inhibitor CDKN1A/p21. The encoded protein binds to and prevents the activation of cyclin E-CDK2 or cyclin D-CDK4 complexes, and thus controls the cell cycle progression at G1. The degradation of this protein, which is triggered by its CDK dependent phosphorylation and subsequent ubiquitination by SCF complexes, is required for the cellular transition from quiescence to the proliferative state. Mutations in this gene are associated with multiple endocrine neoplasia type IV (MEN4). [provided by RefSeq, Apr 2014]",12p13.1,12717269,12722382,1,NG_016341,238990,600778,ENSG00000111276,,human,KIP1 MEN4 CDKN4 MEN1B P27KIP1,2999
1028,CDKN1C,cyclin dependent kinase inhibitor 1C,"This gene is imprinted, with preferential expression of the maternal allele. The encoded protein is a tight-binding, strong inhibitor of several G1 cyclin/Cdk complexes and a negative regulator of cell proliferation. Mutations in this gene are implicated in sporadic cancers and Beckwith-Wiedemann syndorome, suggesting that this gene is a tumor suppressor candidate. Three transcript variants encoding two different isoforms have been found for this gene. [provided by RefSeq, Oct 2010]",11p15.4,2883217,2885803,-1,NG_008022,106070,600856,ENSG00000129757,,human,BWS WBS p57 BWCR KIP2 p57Kip2,
1029,CDKN2A,cyclin dependent kinase inhibitor 2A,"This gene generates several transcript variants which differ in their first exons. At least three alternatively spliced variants encoding distinct proteins have been reported, two of which encode structurally related isoforms known to function as inhibitors of CDK4 kinase. The remaining transcript includes an alternate first exon located 20 Kb upstream of the remainder of the gene; this transcript contains an alternate open reading frame (ARF) that specifies a protein which is structurally unrelated to the products of the other variants. This ARF product functions as a stabilizer of the tumor suppressor protein p53 as it can interact with, and sequester, the E3 ubiquitin-protein ligase MDM2, a protein responsible for the degradation of p53. In spite of the structural and functional differences, the CDK inhibitor isoforms and the ARF product encoded by this gene, through the regulatory roles of CDK4 and p53 in cell cycle G1 progression, share a common functionality in cell cycle G1 control. This gene is frequently mutated or deleted in a wide variety of tumors, and is known to be an important tumor suppressor gene. [provided by RefSeq, Sep 2012]",9p21.3,21967751,21995042,-1,NG_007485,512599,600160,ENSG00000147889,,human,ARF MLM P14 P16 P19 CMM2 INK4 MTS1 TP16 CDK4I CDKN2 INK4A MTS-1 P14ARF P19ARF P16INK4 P16INK4A P16-INK4A,55430
1030,CDKN2B,cyclin dependent kinase inhibitor 2B,"This gene lies adjacent to the tumor suppressor gene CDKN2A in a region that is frequently mutated and deleted in a wide variety of tumors. This gene encodes a cyclin-dependent kinase inhibitor, which forms a complex with CDK4 or CDK6, and prevents the activation of the CDK kinases, thus the encoded protein functions as a cell growth regulator that controls cell cycle G1 progression. The expression of this gene was found to be dramatically induced by TGF beta, which suggested its role in the TGF beta induced growth inhibition. Two alternatively spliced transcript variants of this gene, which encode distinct proteins, have been reported. [provided by RefSeq, Jul 2008]",9p21.3,22002902,22009312,-1,NG_023297,72901,600431,ENSG00000147883,,human,P15 MTS2 TP15 CDK4I INK4B p15INK4b,55859
1051,CEBPB,CCAAT/enhancer binding protein beta,"This intronless gene encodes a transcription factor that contains a basic leucine zipper (bZIP) domain. The encoded protein functions as a homodimer but can also form heterodimers with CCAAT/enhancer-binding proteins alpha, delta, and gamma. Activity of this protein is important in the regulation of genes involved in immune and inflammatory responses, among other processes. The use of alternative in-frame AUG start codons results in multiple protein isoforms, each with distinct biological functions. [provided by RefSeq, Oct 2013]",20q13.13,50190582,50192689,1,NG_029019,517106,189965,ENSG00000172216,,human,TCF5 IL6DBP NF-IL6 C/EBP-beta,3807
1058,CENPA,centromere protein A,"Centromeres are the differentiated chromosomal domains that specify the mitotic behavior of chromosomes. This gene encodes a centromere protein which contains a histone H3 related histone fold domain that is required for targeting to the centromere. Centromere protein A is proposed to be a component of a modified nucleosome or nucleosome-like structure in which it replaces 1 or both copies of conventional histone H3 in the (H3-H4)2 tetrameric core of the nucleosome particle. The protein is a replication-independent histone that is a member of the histone H3 family. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Nov 2015]",2p23.3,26786013,26794588,1,,1594,117139,ENSG00000115163,,human,CenH3 CENP-A,
1111,CHEK1,checkpoint kinase 1,"The protein encoded by this gene belongs to the Ser/Thr protein kinase family. It is required for checkpoint mediated cell cycle arrest in response to DNA damage or the presence of unreplicated DNA. This protein acts to integrate signals from ATM and ATR, two cell cycle proteins involved in DNA damage responses, that also associate with chromatin in meiotic prophase I. Phosphorylation of CDC25A protein phosphatase by this protein is required for cells to delay cell cycle progression in response to double-strand DNA breaks. Several alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Oct 2011]",11q24.2,125624909,125676258,1,NG_030049,24529,603078,ENSG00000149554,,human,CHK1,975
1152,CKB,creatine kinase B,"The protein encoded by this gene is a cytoplasmic enzyme involved in energy homeostasis. The encoded protein reversibly catalyzes the transfer of phosphate between ATP and various phosphogens such as creatine phosphate. It acts as a homodimer in brain as well as in other tissues, and as a heterodimer with a similar muscle isozyme in heart. The encoded protein is a member of the ATP:guanido phosphotransferase protein family. A pseudogene of this gene has been characterized. [provided by RefSeq, Jul 2008]",14q32.33,103519657,103522858,-1,,173724,123280,ENSG00000166165,,human,BCK B-CK CKBB HEL-211 HEL-S-29,37530
1432,MAPK14,mitogen-activated protein kinase 14,"The protein encoded by this gene is a member of the MAP kinase family. MAP kinases act as an integration point for multiple biochemical signals, and are involved in a wide variety of cellular processes such as proliferation, differentiation, transcription regulation and development. This kinase is activated by various environmental stresses and proinflammatory cytokines. The activation requires its phosphorylation by MAP kinase kinases (MKKs), or its autophosphorylation triggered by the interaction of MAP3K7IP1/TAB1 protein with this kinase. The substrates of this kinase include transcription regulator ATF2, MEF2C, and MAX, cell cycle regulator CDC25B, and tumor suppressor p53, which suggest the roles of this kinase in stress related transcription and cell cycle regulation, as well as in genotoxic stress response. Four alternatively spliced transcript variants of this gene encoding distinct isoforms have been reported. [provided by RefSeq, Jul 2008]",6p21.31,36027634,36122963,1,,485233,600289,ENSG00000112062,,human,RK p38 CSBP EXIP Mxi2 CSBP1 CSBP2 CSPB1 PRKM14 PRKM15 SAPK2A p38ALPHA,31777
1452,CSNK1A1,casein kinase 1 alpha 1,,5q32,149495893,149551551,-1,,529862,600505,ENSG00000113712,,human,CK1 CK1a CKIa HLCDGP1 PRO2975 HEL-S-77p,111694
1457,CSNK2A1,casein kinase 2 alpha 1,"Casein kinase II is a serine/threonine protein kinase that phosphorylates acidic proteins such as casein. It is involved in various cellular processes, including cell cycle control, apoptosis, and circadian rhythm. The kinase exists as a tetramer and is composed of an alpha, an alpha-prime, and two beta subunits. The alpha subunits contain the catalytic activity while the beta subunits undergo autophosphorylation. The protein encoded by this gene represents the alpha subunit. While this gene is found on chromosome 20, a related transcribed pseudogene is found on chromosome 11. Three transcript variants encoding two different proteins have been found for this gene. [provided by RefSeq, Jul 2014]",20p13,482693,543837,-1,NG_011970,644056,115440,ENSG00000101266,,human,CKII CK2A1 OCNDS CSNK2A3,90874
1643,DDB2,damage specific DNA binding protein 2,"This gene encodes a protein that is necessary for the repair of ultraviolet light-damaged DNA. This protein is the smaller subunit of a heterodimeric protein complex that participates in nucleotide excision repair, and this complex mediates the ubiquitylation of histones H3 and H4, which facilitates the cellular response to DNA damage. This subunit appears to be required for DNA binding. Mutations in this gene cause xeroderma pigmentosum complementation group E, a recessive disease that is characterized by an increased sensitivity to UV light and a high predisposition for skin cancer development, in some cases accompanied by neurological abnormalities. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2014]",11p11.2,47214941,47239217,1,NG_009365,700338,600811,ENSG00000134574,,human,XPE DDBB UV-DDB2,83
1660,DHX9,DExH-box helicase 9,"This gene encodes a member of the DEAH-containing family of RNA helicases. The encoded protein is an enzyme that catalyzes the ATP-dependent unwinding of double-stranded RNA and DNA-RNA complexes. This protein localizes to both the nucleus and the cytoplasm and functions as a transcriptional regulator. This protein may also be involved in the expression and nuclear export of retroviral RNAs. Alternate splicing results in multiple transcript variants. Pseudogenes of this gene are found on chromosomes 11 and 13.[provided by RefSeq, Feb 2010]",1q25.3,182839303,182887981,1,NG_029930,191518,603115,ENSG00000135829,,human,LKP RHA DDX9 NDH2 NDHII,1039
1718,DHCR24,24-dehydrocholesterol reductase,"This gene encodes a flavin adenine dinucleotide (FAD)-dependent oxidoreductase which catalyzes the reduction of the delta-24 double bond of sterol intermediates during cholesterol biosynthesis. The protein contains a leader sequence that directs it to the endoplasmic reticulum membrane. Missense mutations in this gene have been associated with desmosterolosis. Also, reduced expression of the gene occurs in the temporal cortex of Alzheimer disease patients and overexpression has been observed in adrenal gland cancer cells. [provided by RefSeq, Jul 2008]",1p32.3,54849626,54887247,-1,NG_008839,498727,606418,ENSG00000116133,,human,DCE SELADIN1 Nbla03646 seladin-1,8850
1746,DLX2,distal-less homeobox 2,"Many vertebrate homeo box-containing genes have been identified on the basis of their sequence similarity with Drosophila developmental genes. Members of the Dlx gene family contain a homeobox that is related to that of Distal-less (Dll), a gene expressed in the head and limbs of the developing fruit fly. The Distal-less (Dlx) family of genes comprises at least 6 different members, DLX1-DLX6. The DLX proteins are postulated to play a role in forebrain and craniofacial development. This gene is located in a tail-to-tail configuration with another member of the gene family on the long arm of chromosome 2. [provided by RefSeq, Jul 2008]",2q31.1,172099437,172102749,-1,NG_009219,419,126255,ENSG00000115844,,human,TES1 TES-1,3244
1845,DUSP3,dual specificity phosphatase 3,"The protein encoded by this gene is a member of the dual specificity protein phosphatase subfamily. These phosphatases inactivate their target kinases by dephosphorylating both the phosphoserine/threonine and phosphotyrosine residues. They negatively regulate members of the mitogen-activated protein (MAP) kinase superfamily (MAPK/ERK, SAPK/JNK, p38), which are associated with cellular proliferation and differentiation. Different members of the family of dual specificity phosphatases show distinct substrate specificities for various MAP kinases, different tissue distribution and subcellular localization, and different modes of inducibility of their expression by extracellular stimuli. This gene maps in a region that contains the BRCA1 locus which confers susceptibility to breast and ovarian cancer. Although DUSP3 is expressed in both breast and ovarian tissues, mutation screening in breast cancer pedigrees and in sporadic tumors was negative, leading to the conclusion that this gene is not BRCA1. [provided by RefSeq, Jul 2008]",17q21.31,43766120,43778999,-1,,181046,600183,ENSG00000108861,,human,VHR,20870
1869,E2F1,E2F transcription factor 1,"The protein encoded by this gene is a member of the E2F family of transcription factors. The E2F family plays a crucial role in the control of cell cycle and action of tumor suppressor proteins and is also a target of the transforming proteins of small DNA tumor viruses. The E2F proteins contain several evolutionally conserved domains found in most members of the family. These domains include a DNA binding domain, a dimerization domain which determines interaction with the differentiation regulated transcription factor proteins (DP), a transactivation domain enriched in acidic amino acids, and a tumor suppressor protein association domain which is embedded within the transactivation domain.  This protein and another 2 members, E2F2 and E2F3, have an additional cyclin binding domain. This protein binds preferentially to retinoblastoma protein pRB in a cell-cycle dependent manner. It can mediate both cell proliferation and p53-dependent/independent apoptosis. [provided by RefSeq, Jul 2008]",20q11.22,33675485,33686403,-1,NG_046988,654393,189971,ENSG00000101412,,human,RBP3 E2F-1 RBAP1 RBBP3,3828
2021,ENDOG,endonuclease G,"The protein encoded by this gene is a nuclear encoded endonuclease that is localized in the mitochondrion. The encoded protein is widely distributed among animals and cleaves DNA at GC tracts. This protein is capable of generating the RNA primers required by DNA polymerase gamma to initiate replication of mitochondrial DNA. [provided by RefSeq, Jul 2008]",9q34.11,128818401,128822675,1,NG_046991,745161,600440,ENSG00000167136,,human,,55823
